,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
2,2,3,https://lancersagent.com/project/other/006165051489649915e56acd,"新着【週4日･5日/コンサル】                                【コンサル】事業改善におけるコンサル業務                            週4日･5日 | 600,000円以上 / 月コンサル週4日･5日渋谷・新宿（渋谷駅）【ミッション】大手通信業者 マネージドサービスプロバイダー向け 業務プロセス改善クライアントの課題・業務内容を把握した上で、どのように解決していくのが最適であるか考えていきます。【業務内容】 ・アジャイル形式での計画立案、バックログ、スプリントの実施、評価を提案、実行、アウトプット作成 ・各部門とのコミュニケーションに必要なツールの提案、システム導入プロジェクトのリード詳細を見る",コンサル,,週4日･5日,渋谷・新宿（渋谷駅）,                【コンサル】事業改善におけるコンサル業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/006165051489649915e56acd,"【ミッション】
大手通信業者 マネージドサービスプロバイダー向け 業務プロセス改善
クライアントの課題・業務内容を把握した上で、どのように解決していくのが最適であるか考えていきます。

【業務内容】
 ・アジャイル形式での計画立案、バックログ、スプリントの実施、評価を提案、実行、アウトプット作成
 ・各部門とのコミュニケーションに必要なツールの提案、システム導入プロジェクトのリード/その他/その他/渋谷・新宿",【週4日･5日/】,【コンサル】事業改善におけるコンサル業務,"600,000円以上/ 月※ 消費税別の実際にお渡しする金額です",コンサル,,週4日･5日,渋谷・新宿（渋谷駅）,【ミッション】大手通信業者 マネージドサービスプロバイダー向け 業務プロセス改善クライアントの課題・業務内容を把握した上で、どのように解決していくのが最適であるか考えていきます。【業務内容】・アジャイル形式での計画立案、バックログ、スプリントの実施、評価を提案、実行、アウトプット作成・各部門とのコミュニケーションに必要なツールの提案、システム導入プロジェクトのリード,コンサル,,・アジャイルでの業務改善プロセスの提案・下記のいずれかのご経験・ITの企画・導入・運営のプロジェクトにて複数回の実務経験・自社顧客への業務プロセス改善の実務経験,・複数部門とのコミュニケーションを通して、クライアント目線に立った現実的な施策まで落とし込める方・責任を持ってアウトプットに取り組める粘り強さのある方・自身で仮説を立て、解決のために必要なテクノロジーの紐づけやアプローチ検討を自発的に行える方,"週4日･5日                            
(ﾘﾓｰﾄ：可)","600,000円以上",渋谷・新宿（渋谷駅）,業務委託,※参考報酬は週5日稼働いただいた場合の金額です。,案件ID：000006105262,
8,8,9,https://lancersagent.com/project/other/0061649922261060815e553d4,"新着【週3日･4日･5日/ヘルプデスク】                                【ヘルプデスク】システムの運用におけるサポート業務                            週3日･4日･5日 | 400,000〜700,000円 / 月ヘルプデスクHTML・CSS・JavaScript・React.js週3日･4日･5日池袋（-）担当業務例・ Jenkinsで稼働しているジョブをTekton(Kubernetes)に移行Jenkinsのジョブはシェルスクリプトをキックしているため、シェルスクリプトの解析を行い、Tektonへの移行詳細を見る",ヘルプデスク,HTML・CSS・JavaScript・React.js,週3日･4日･5日,池袋（-）,                【ヘルプデスク】システムの運用におけるサポート業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/0061649922261060815e553d4,"担当業務例

・ Jenkinsで稼働しているジョブをTekton(Kubernetes)に移行
Jenkinsのジョブはシェルスクリプトをキックしているため、シェルスクリプトの解析を行い、Tektonへの移行/その他/その他/池袋",【週3日･4日･5日/HTML・CSS・JavaScript】,【ヘルプデスク】システムの運用におけるサポート業務,"400,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",ヘルプデスク,HTML・CSS・JavaScript,週3日･4日･5日,池袋（-）,担当業務例・ Jenkinsで稼働しているジョブをTekton(Kubernetes)に移行Jenkinsのジョブはシェルスクリプトをキックしているため、シェルスクリプトの解析を行い、Tektonへの移行,ヘルプデスク,HTML・CSS・JavaScript・React.js,・デスクワークのご経験・基本的なパソコンの操作・コミュニケーション能力・流暢な日本語が話せる、書けること,・サービスデスク系の業務経験・ユーザー問い合わせ対応のご経験・プログラミング経験・流暢な英語が話せる、書けること・ITパスポートレベルの知識・HTML/CSS/JS（React.js）でのWEBページ構築のご経験・エンジニアを目指している方・まずはIT業界に足を踏み入れてみたい方・サポート業務が得意な方,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","400,000〜700,000円",池袋（-）,業務委託,※参考報酬額は週5日でご稼働いただいた場合の金額です。,案件ID：000006104831,
29,29,30,https://lancersagent.com/project/other/006165241354483771a8e3a05,"注目【週3日･4日･5日/人事コンサルタント】                                人事コンサルタント                            週3日･4日･5日 | 450,000〜800,000円 / 月人事コンサルタント週3日･4日･5日赤坂・永田町（虎ノ門駅）【仕事の内容】・経営課題のヒアリングと求人実務への落とし込み・ダイレクトリクルーティング・スカウト（検索/検討/送信）・各種媒体/エージェント対応・採用広報（SNS等でのPR活動/イベント企画・実施/各種ライティング）・ATS（HERP)の登録/活用・面談、面接の日程調整詳細を見る",人事コンサルタント,,週3日･4日･5日,赤坂・永田町（虎ノ門駅）,                人事コンサルタント | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/006165241354483771a8e3a05,"【仕事の内容】
・経営課題のヒアリングと求人実務への落とし込み
・ダイレクトリクルーティング・スカウト（検索/検討/送信）
・各種媒体/エージェント対応
・採用広報（SNS等でのPR活動/イベント企画・実施/各種ライティング）
・ATS（HERP)の登録/活用
・面談、面接の日程調整/その他/PR/赤坂・永田町",【週3日･4日･5日/】,人事コンサルタント,"450,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",人事コンサルタント,,週3日･4日･5日,赤坂・永田町（虎ノ門駅）,【仕事の内容】・経営課題のヒアリングと求人実務への落とし込み・ダイレクトリクルーティング・スカウト（検索/検討/送信）・各種媒体/エージェント対応・採用広報（SNS等でのPR活動/イベント企画・実施/各種ライティング）・ATS（HERP)の登録/活用・面談、面接の日程調整,人事コンサルタント,,・スタートアップでの中途採用経験,・採用広報のご経験/発信力のある方・IT/テクノロジーが好きな方・当事者意識を持ってポジティブに行動できる方,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","450,000〜800,000円",赤坂・永田町（虎ノ門駅）,業務委託,※報酬額は【週5日（月20日）換算,案件ID：000006105438,
91,91,92,https://lancersagent.com/project/other/00616510642530933e80172b,"注目【週3日･4日･5日/ITコンサル】                                【SAP】SAPの導入プロジェクト                            週3日･4日･5日 | 650,000円以上 / 月ITコンサル-・週3日･4日･5日新橋・銀座・東京（新日本橋駅）【業務内容】SAPの導入プロジェクトにご参画いただける方を募集いたします。※業務の詳細に関しましては、面談時に企業様からご説明がございますので、まずはご応募いただけますと幸いです。詳細を見る",ITコンサル,-・,週3日･4日･5日,新橋・銀座・東京（新日本橋駅）,                【SAP】SAPの導入プロジェクト | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/00616510642530933e80172b,"【業務内容】
SAPの導入プロジェクトにご参画いただける方を募集いたします。
※業務の詳細に関しましては、面談時に企業様からご説明がございますので、
まずはご応募いただけますと幸いです。/その他/その他/新橋・銀座・東京",【週3日･4日･5日/】,【SAP】SAPの導入プロジェクト,"650,000円以上/ 月※ 消費税別の実際にお渡しする金額です",ITコンサル,,週3日･4日･5日,新橋・銀座・東京（新日本橋駅）,【業務内容】SAPの導入プロジェクトにご参画いただける方を募集いたします。※業務の詳細に関しましては、面談時に企業様からご説明がございますので、まずはご応募いただけますと幸いです。,ITコンサル,-・,・SAPの導入プロジェクト・FI、CIコンサル経験・Business Technology Platform（BTP)のご経験,-,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","650,000円以上",新橋・銀座・東京（新日本橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105387,
133,133,134,https://lancersagent.com/project/other/00616505879726165197c6bfc,"注目【週4日/テクニカルサポート】                                【即日&大募集】短期就業仕事紹介マッチングPF事業のCRE業務                            週4日 | 500,000〜600,000円 / 月テクニカルサポート週4日渋谷・新宿（青山一丁目駅）＜具体的な業務内容＞・サービスの主にシステム的な問い合わせの対応・ SQLを流すなどのエンジニアリング的なオペレーション・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）・CSチーム、営業チーム、プロダクトチームとの連携詳細を見る",テクニカルサポート,,週4日,渋谷・新宿（青山一丁目駅）,                【即日&大募集】短期就業仕事紹介マッチングPF事業のCRE業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/00616505879726165197c6bfc,"＜具体的な業務内容＞
・サービスの主にシステム的な問い合わせの対応
・ SQLを流すなどのエンジニアリング的なオペレーション
・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）
・CSチーム、営業チーム、プロダクトチームとの連携/その他/その他/渋谷・新宿",【週4日/】,【即日&大募集】短期就業仕事紹介マッチングPF事業のCRE業務,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",テクニカルサポート,,週4日,渋谷・新宿（青山一丁目駅）,＜具体的な業務内容＞・サービスの主にシステム的な問い合わせの対応・ SQLを流すなどのエンジニアリング的なオペレーション・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）・CSチーム、営業チーム、プロダクトチームとの連携,テクニカルサポート,,・社内SE、もしくはカスタマーサポートの経験がある方,・Goまたは ReactNative で書かれたコードが読める方・ログ / コードからの調査が得意な方・他部門含めたコミュニケーションが好きな方（周りが喜ぶのが好きな方）・コツコツと改善するのが好きな方,"週4日                            
(ﾘﾓｰﾄ：可)","500,000〜600,000円",渋谷・新宿（青山一丁目駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105283,
192,192,193,https://lancersagent.com/project/other/0061650503847634197c72ec,"注目【週4日/テクニカルサポート】                                【定番案件】短期就業仕事紹介マッチングPF事業のCRE業務                            週4日 | 500,000〜600,000円 / 月テクニカルサポート週4日渋谷・新宿（青山一丁目駅）＜具体的な業務内容＞・サービスの主にシステム的な問い合わせの対応・ SQLを流すなどのエンジニアリング的なオペレーション・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）・CSチーム、営業チーム、プロダクトチームとの連携詳細を見る",テクニカルサポート,,週4日,渋谷・新宿（青山一丁目駅）,                【定番案件】短期就業仕事紹介マッチングPF事業のCRE業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/0061650503847634197c72ec,"＜具体的な業務内容＞
・サービスの主にシステム的な問い合わせの対応
・ SQLを流すなどのエンジニアリング的なオペレーション
・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）
・CSチーム、営業チーム、プロダクトチームとの連携/その他/その他/渋谷・新宿",【週4日/】,【定番案件】短期就業仕事紹介マッチングPF事業のCRE業務,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",テクニカルサポート,,週4日,渋谷・新宿（青山一丁目駅）,＜具体的な業務内容＞・サービスの主にシステム的な問い合わせの対応・ SQLを流すなどのエンジニアリング的なオペレーション・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）・CSチーム、営業チーム、プロダクトチームとの連携,テクニカルサポート,,・社内SE、もしくはカスタマーサポートの経験がある方,・Goまたは ReactNative で書かれたコードが読める方・ログ / コードからの調査が得意な方・他部門含めたコミュニケーションが好きな方（周りが喜ぶのが好きな方）・コツコツと改善するのが好きな方,"週4日                            
(ﾘﾓｰﾄ：可)","500,000〜600,000円",渋谷・新宿（青山一丁目駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105215,
283,283,284,https://lancersagent.com/project/other/00616504286467788197c7c97,"注目【週4日/テクニカルサポート】                                【人気案件！】短期就業仕事紹介マッチングPF事業のCRE業務                            週4日 | 500,000〜600,000円 / 月テクニカルサポート週4日渋谷・新宿（青山一丁目駅）＜具体的な業務内容＞・サービスの主にシステム的な問い合わせの対応・ SQLを流すなどのエンジニアリング的なオペレーション・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）・CSチーム、営業チーム、プロダクトチームとの連携詳細を見る",テクニカルサポート,,週4日,渋谷・新宿（青山一丁目駅）,                【人気案件！】短期就業仕事紹介マッチングPF事業のCRE業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/00616504286467788197c7c97,"＜具体的な業務内容＞
・サービスの主にシステム的な問い合わせの対応
・ SQLを流すなどのエンジニアリング的なオペレーション
・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）
・CSチーム、営業チーム、プロダクトチームとの連携/その他/その他/渋谷・新宿",【週4日/】,【人気案件！】短期就業仕事紹介マッチングPF事業のCRE業務,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",テクニカルサポート,,週4日,渋谷・新宿（青山一丁目駅）,＜具体的な業務内容＞・サービスの主にシステム的な問い合わせの対応・ SQLを流すなどのエンジニアリング的なオペレーション・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）・CSチーム、営業チーム、プロダクトチームとの連携,テクニカルサポート,,・社内SE、もしくはカスタマーサポートの経験がある方,・Goまたは ReactNative で書かれたコードが読める方・ログ / コードからの調査が得意な方・他部門含めたコミュニケーションが好きな方（周りが喜ぶのが好きな方）・コツコツと改善するのが好きな方,"週4日                            
(ﾘﾓｰﾄ：可)","500,000〜600,000円",渋谷・新宿（青山一丁目駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105128,
330,330,331,https://lancersagent.com/project/other/006165050142129041a8de21d,"定番【週5日/ゲームプランナー】                                【ゲームプランナー（スクリプター）】データ作成、スクリプト作成業務                            週5日 | 400,000円以上 / 月ゲームプランナー週5日渋谷・新宿（新宿駅）【会社概要】創る人が純粋にモノ作りに取り組める環境を用意し、そこで生み出されたモノを、遊ぶ人が心から楽しく、安心して遊べる世界。そんな当たり前とも言える世界観を、シンプルに実現し続ける。そんなゲーム開発集団です。【案件概要】データ作成、スクリプト作成業務詳細を見る",ゲームプランナー,,週5日,渋谷・新宿（新宿駅）,                【ゲームプランナー（スクリプター）】データ作成、スクリプト作成業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/006165050142129041a8de21d,"【会社概要】
創る人が純粋にモノ作りに取り組める環境を用意し、そこで生み出されたモノを、遊ぶ人が心から楽しく、安心して遊べる世界。そんな当たり前とも言える世界観を、シンプルに実現し続ける。そんなゲーム開発集団です。
【案件概要】
データ作成、スクリプト作成業務/その他/その他/渋谷・新宿",【週5日/】,【ゲームプランナー（スクリプター）】データ作成、スクリプト作成業務,"400,000円以上/ 月※ 消費税別の実際にお渡しする金額です",ゲームプランナー,,週5日,渋谷・新宿（新宿駅）,【会社概要】創る人が純粋にモノ作りに取り組める環境を用意し、そこで生み出されたモノを、遊ぶ人が心から楽しく、安心して遊べる世界。そんな当たり前とも言える世界観を、シンプルに実現し続ける。そんなゲーム開発集団です。【案件概要】データ作成、スクリプト作成業務,ゲームプランナー,,"・一般PC操作経験(インターネット,メール,Word,Excel)・基本的なビジネスマナー・ゲーム企画・開発・運用経験",・弊社のタイトル（ファイナルファンタジーブレイブエクスヴィアス）をプレイしている方・ファイナルファンタジーシリーズをプレイしている方・業務フロー改善や開発環境の整備などの知見がある方・データ入力業務の経験者・デザイン業務の経験者,"週5日                            
(ﾘﾓｰﾄ：相談可)","400,000円以上",渋谷・新宿（新宿駅）,業務委託,,案件ID：000006105204,
336,336,337,https://lancersagent.com/project/other/00616505435568092175ffc55,"定番【週2日･3日･4日･5日/ソリューションセールス】                                【セールス】直販型の次世代旅行プラットフォームのソリューションセールス                            週2日･3日･4日･5日 | 400,000〜700,000円 / 月ソリューションセールス週2日･3日･4日･5日新橋・銀座・東京（東京駅）ターゲットサーチやリスト作成の必要はなく、日程調整から商談、ご契約までを担っていただきます！※毎回訪問ではなく先方との相談の上、弊社としては通常は感染症対策も含め基本リモートをお願いしていますが、訪問の可能性もあります。（現状の営業の動きとしては約9割はリモートでの営業活動です）詳細を見る",ソリューションセールス,,週2日･3日･4日･5日,新橋・銀座・東京（東京駅）,                【セールス】直販型の次世代旅行プラットフォームのソリューションセールス | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/00616505435568092175ffc55,"ターゲットサーチやリスト作成の必要はなく、日程調整から商談、ご契約までを担っていただきます！
※毎回訪問ではなく先方との相談の上、弊社としては通常は感染症対策も含め基本リモートをお願いしていますが、訪問の可能性もあります。
（現状の営業の動きとしては約9割はリモートでの営業活動です）/その他/営業/新橋・銀座・東京",【週2日･3日･4日･5日/】,【セールス】直販型の次世代旅行プラットフォームのソリューションセールス,"400,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",ソリューションセールス,,週2日･3日･4日･5日,新橋・銀座・東京（東京駅）,ターゲットサーチやリスト作成の必要はなく、日程調整から商談、ご契約までを担っていただきます！※毎回訪問ではなく先方との相談の上、弊社としては通常は感染症対策も含め基本リモートをお願いしていますが、訪問の可能性もあります。（現状の営業の動きとしては約9割はリモートでの営業活動です）,ソリューションセールス,,・法人営業経験3年以上　※行政とのやり取り経験歓迎・旅を通じたビジネス・事業で、社会をより良くしていきたいというビジョンにご賛同いただける方・テクノロジーを活用して新たな事業を創り出すことへの興味・関心がある方・ITリテラシー・システムへの理解がある方,・地方自治体様への提案経験や折衝経験・旅行業界における知見や経験・多様な営業経験（アカウント営業、ソリューション営業の経験など）・ITに関する知識や経験・プロジェクトリード、基礎的なマネジメントの知見や経験,"週2日･3日･4日･5日                            
(ﾘﾓｰﾄ：相談可)","400,000〜700,000円",新橋・銀座・東京（東京駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105266,
354,354,355,https://lancersagent.com/project/other/00616503343446164197c7595,"注目【週4日/テクニカルサポート】                                【急募案件！】短期就業仕事紹介マッチングPF事業のCRE業務                            週4日 | 500,000〜600,000円 / 月テクニカルサポート週4日渋谷・新宿（青山一丁目駅）＜具体的な業務内容＞・サービスの主にシステム的な問い合わせの対応・ SQLを流すなどのエンジニアリング的なオペレーション・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）・CSチーム、営業チーム、プロダクトチームとの連携詳細を見る",テクニカルサポート,,週4日,渋谷・新宿（青山一丁目駅）,                【急募案件！】短期就業仕事紹介マッチングPF事業のCRE業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/other/00616503343446164197c7595,"＜具体的な業務内容＞
・サービスの主にシステム的な問い合わせの対応
・ SQLを流すなどのエンジニアリング的なオペレーション
・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）
・CSチーム、営業チーム、プロダクトチームとの連携/その他/その他/渋谷・新宿",【週4日/】,【急募案件！】短期就業仕事紹介マッチングPF事業のCRE業務,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",テクニカルサポート,,週4日,渋谷・新宿（青山一丁目駅）,＜具体的な業務内容＞・サービスの主にシステム的な問い合わせの対応・ SQLを流すなどのエンジニアリング的なオペレーション・【上記の自動化】（あるいはそもそも根本的な解決） （ここが一番重要です）・CSチーム、営業チーム、プロダクトチームとの連携,テクニカルサポート,,・社内SE、もしくはカスタマーサポートの経験がある方,・Goまたは ReactNative で書かれたコードが読める方・ログ / コードからの調査が得意な方・他部門含めたコミュニケーションが好きな方（周りが喜ぶのが好きな方）・コツコツと改善するのが好きな方,"週4日                            
(ﾘﾓｰﾄ：可)","500,000〜600,000円",渋谷・新宿（青山一丁目駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105040,
