,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
11,11,12,https://lancersagent.com/project/designer/0061647999426903114a8116f,"新着｜定番【週2日･3日/Webデザイナー・ディレクター】                                【EC運用】サプリメントや医薬品メーカーでのモール運営業務                            週2日･3日 | 400,000〜500,000円 / 月Webデザイナー・ディレクターHTML・CSS週2日･3日関西：大阪・京都・神戸（-）弊社は健康食品・サプリメントを4研究開発・製造・販売をしている会社です。【案件概要】▼大手ECモール内のショップ運営 　・出品商品の選定 　・値段設定（ある程度の相場は決まっています）  ▼各種分析 　・アクセス分析 　・売上分析 　・各種効果測定 ▼広告管理 　・メルマガ配信 　・クーポン設定　・セールなどイベント対応  詳細を見る",Webデザイナー・ディレクター,HTML・CSS,週2日･3日,関西：大阪・京都・神戸（-）,                【EC運用】サプリメントや医薬品メーカーでのモール運営業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/0061647999426903114a8116f,"弊社は健康食品・サプリメントを4研究開発・製造・販売をしている会社です。

【案件概要】
▼大手ECモール内のショップ運営 
　・出品商品の選定 　・値段設定（ある程度の相場は決まっています）  
▼各種分析
 　・アクセス分析 　・売上分析 　・各種効果測定 
▼広告管理 
　・メルマガ配信 　・クーポン設定
　・セールなどイベント対応  /デザイナー/WEB/関西：大阪・京都・神戸",【週2日･3日/HTML・CSS】,【EC運用】サプリメントや医薬品メーカーでのモール運営業務,"400,000〜500,000円/ 月※ 消費税別の実際にお渡しする金額です",Webデザイナー・ディレクター,HTML・CSS,週2日･3日,関西：大阪・京都・神戸（-）,弊社は健康食品・サプリメントを4研究開発・製造・販売をしている会社です。【案件概要】▼大手ECモール内のショップ運営・出品商品の選定 　・値段設定（ある程度の相場は決まっています）▼各種分析・アクセス分析 　・売上分析 　・各種効果測定▼広告管理・メルマガ配信 　・クーポン設定・セールなどイベント対応,Webデザイナー・ディレクター,HTML・CSS,・ECモールの運営経験・WEBデザイン経験・社内コミュニケーションを円滑に行える方,・ECモールでの運営責任者経験・簡単なコーディングの修正が対応可能な方・簡単なクリエイティブの修正が対応可能な方,"週2日･3日                            
(ﾘﾓｰﾄ：可)","400,000〜500,000円",関西：大阪・京都・神戸（-）,業務委託,※参考報酬額は週3日でご稼働いただいた金額です。,案件ID：000006103538,
15,15,16,https://lancersagent.com/project/designer/006165266411366091a8ded56,"新着｜定番【週5日/UIデザイナー】                                【UIデザイナー】Webサービス(toC)のUIデザイン実務を担当                            週5日 | 240,000円以上 / 月UIデザイナーFigma週5日渋谷・新宿（外苑前）【企業紹介】エンタメ系プラットフォーム事業の会社を立ち上げて、すでにVCからの資金調達をしています。現在立ち上げフェーズの会社のため、０→１を作り出すことができます。【業務内容】・新規サービス（エンタメ系プラットフォーム）の立ち上げフェーズから参画していただきます・Webサービス(toC)のUIデザインの実務を担当いただきます詳細を見る",UIデザイナー,Figma,週5日,渋谷・新宿（外苑前）,                【UIデザイナー】Webサービス(toC)のUIデザイン実務を担当 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/006165266411366091a8ded56,"【企業紹介】
エンタメ系プラットフォーム事業の会社を立ち上げて、すでにVCからの資金調達をしています。現在立ち上げフェーズの会社のため、０→１を作り出すことができます。

【業務内容】
・新規サービス（エンタメ系プラットフォーム）の立ち上げフェーズから参画していただきます
・Webサービス(toC)のUIデザインの実務を担当いただきます
/デザイナー/UI/UX/渋谷・新宿",【週5日/】,【UIデザイナー】Webサービス(toC)のUIデザイン実務を担当,"240,000円以上/ 月※ 消費税別の実際にお渡しする金額です",UIデザイナー,,週5日,渋谷・新宿（外苑前）,【企業紹介】エンタメ系プラットフォーム事業の会社を立ち上げて、すでにVCからの資金調達をしています。現在立ち上げフェーズの会社のため、０→１を作り出すことができます。【業務内容】・新規サービス（エンタメ系プラットフォーム）の立ち上げフェーズから参画していただきます・Webサービス(toC)のUIデザインの実務を担当いただきます,UIデザイナー,Figma,・WebサービスのUIデザイン実務経験,・開発チームとの連携経験・プロトタイプの作成経験・FigmaなどのUIデザインツール使用経験,"週5日                            
(ﾘﾓｰﾄ：一部可)","240,000円以上",渋谷・新宿（外苑前）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105446,
16,16,17,https://lancersagent.com/project/designer/006165266734261891a8df15a,"新着｜定番【週5日/Webデザイナー】                                【WEBデザイナー】新規ECサイトのデザイン全般を担当                            週5日 | 200,000円以上 / 月Webデザイナー週5日関西：大阪・京都・神戸（上本町）【企業紹介】地方創生を支援するプラットフォームを担う社会貢献型企業を目指している会社です。【業務内容】新規のECサイトの立ち上げ案件に参画していただき、デザイン全般を担当していただきます。仕事内容：サイト内のデザイン作成（バナー・ページ・LPなど全般）、レスポンシブ、コーディングWEBライティング詳細を見る",Webデザイナー,,週5日,関西：大阪・京都・神戸（上本町）,                【WEBデザイナー】新規ECサイトのデザイン全般を担当 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/006165266734261891a8df15a,"【企業紹介】
地方創生を支援するプラットフォームを担う社会貢献型企業を目指している会社です。
【業務内容】
新規のECサイトの立ち上げ案件に参画していただき、デザイン全般を担当していただきます。
仕事内容：サイト内のデザイン作成（バナー・ページ・LPなど全般）、レスポンシブ、コーディングWEBライティング/デザイナー/WEB/関西：大阪・京都・神戸",【週5日/】,【WEBデザイナー】新規ECサイトのデザイン全般を担当,"200,000円以上/ 月※ 消費税別の実際にお渡しする金額です",Webデザイナー,,週5日,関西：大阪・京都・神戸（上本町）,【企業紹介】地方創生を支援するプラットフォームを担う社会貢献型企業を目指している会社です。【業務内容】新規のECサイトの立ち上げ案件に参画していただき、デザイン全般を担当していただきます。仕事内容：サイト内のデザイン作成（バナー・ページ・LPなど全般）、レスポンシブ、コーディングWEBライティング,Webデザイナー,,・Photoshop、Illustrator使用したWebデザイン実務経験・HTML、CSSなどでのサイト構築実務経験,・SEO対策、Web広告運用等のマーケティング経験・Web、ECサイトに関する広い知識・Google・Yahoo広告の実務運用経験・WEBライティング知識,"週5日                            
(ﾘﾓｰﾄ：可)","200,000円以上",関西：大阪・京都・神戸（上本町）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105447,
19,19,20,https://lancersagent.com/project/designer/00616526892490091a8e069f,"新着｜注目【週2日･3日･4日･5日/Webデザイナー】                                【Webデザイナー】Webデザイン制作                            週2日･3日･4日･5日 | 200,000円以上 / 月Webデザイナー週2日･3日･4日･5日千葉（都賀駅）【業務詳細】・Webデザイン制作Illustrator、PhotoshopでWebデザインを完成させて、フロントエンドエンジニア(コーディング担当)にパスしていただくまでが主な仕事です。ディレクション業務は基本ありませんが、クライアントの意図を直接汲み取りたいという方には積極的にお任せします。詳細を見る",Webデザイナー,,週2日･3日･4日･5日,千葉（都賀駅）,                【Webデザイナー】Webデザイン制作 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/00616526892490091a8e069f,"【業務詳細】
・Webデザイン制作
Illustrator、PhotoshopでWebデザインを完成させて、フロントエンドエンジニア(コーディング担当)にパスしていただくまでが主な仕事です。
ディレクション業務は基本ありませんが、クライアントの意図を直接汲み取りたいという方には積極的にお任せします。/デザイナー/WEB/千葉",【週2日･3日･4日･5日/】,【Webデザイナー】Webデザイン制作,"200,000円以上/ 月※ 消費税別の実際にお渡しする金額です",Webデザイナー,,週2日･3日･4日･5日,千葉（都賀駅）,【業務詳細】・Webデザイン制作Illustrator、PhotoshopでWebデザインを完成させて、フロントエンドエンジニア(コーディング担当)にパスしていただくまでが主な仕事です。ディレクション業務は基本ありませんが、クライアントの意図を直接汲み取りたいという方には積極的にお任せします。,Webデザイナー,,・Illustrator、Photoshopが業務レベルで使える方,・HTML/CSS/JavaScript/reactが出来る方大・知識の吸収に貪欲で学習意欲の高い方,"週2日･3日･4日･5日                            
(ﾘﾓｰﾄ：一部可)","200,000円以上",千葉（都賀駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105450,
34,34,35,https://lancersagent.com/project/designer/006165242753412161a60b9b9,"定番【週4日･5日/DTPデザイナー】                                【DTPデザイナー】金融機関、保険会社パンフレット・資料・チラシ制作                            週4日･5日 | 200,000〜500,000円 / 月DTPデザイナー週4日･5日渋谷・新宿（中野駅）○会社案内／販促ツールの企画・制作○パブリシティの企画・実施○インターネット広告の企画制作詳細を見る",DTPデザイナー,,週4日･5日,渋谷・新宿（中野駅）,                【DTPデザイナー】金融機関、保険会社パンフレット・資料・チラシ制作 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/006165242753412161a60b9b9,"○会社案内／販促ツールの企画・制作
○パブリシティの企画・実施
○インターネット広告の企画制作/デザイナー/グラフィック/渋谷・新宿",【週4日･5日/】,【DTPデザイナー】金融機関、保険会社パンフレット・資料・チラシ制作,"200,000〜500,000円/ 月※ 消費税別の実際にお渡しする金額です",DTPデザイナー,,週4日･5日,渋谷・新宿（中野駅）,○会社案内／販促ツールの企画・制作○パブリシティの企画・実施○インターネット広告の企画制作,DTPデザイナー,,DTPデザイン経験illustrator、Photoshopの使用経験,保険会社のパンフレット、封筒、申込用紙などの作成。専門誌の広告作成。,週4日･5日,"200,000〜500,000円",渋谷・新宿（中野駅）,業務委託,,案件ID：000006105443,
37,37,38,https://lancersagent.com/project/designer/006165232773754241a8dcca4,"定番【週3日･4日･5日/Webデザイナー】                                【WEBデザイナー】旅館・ホテル等のWEBサイトを制作                            週3日･4日･5日 | 300,000円以上 / 月Webデザイナー週3日･4日･5日九州：福岡・沖縄（大分）デザインをはじめ、ホームページの構成から撮影までできるチーム編成により、質の高いホームページがワンストップでご提供が可能。目的やコンセプトに合わせて、「伝わる」ホームページを作り上げていきます。【業務内容】旅館・ホテル等のWEBサイトを作り上げていただきます。WEBサイト作成までの業務全般担当をご対応いただける方を募集しています。詳細を見る",Webデザイナー,,週3日･4日･5日,九州：福岡・沖縄（大分）,                【WEBデザイナー】旅館・ホテル等のWEBサイトを制作 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/006165232773754241a8dcca4,"デザインをはじめ、ホームページの構成から撮影までできるチーム編成により、質の高いホームページがワンストップでご提供が可能。目的やコンセプトに合わせて、「伝わる」ホームページを作り上げていきます。

【業務内容】
旅館・ホテル等のWEBサイトを作り上げていただきます。
WEBサイト作成までの業務全般担当をご対応いただける方を募集しています。
/デザイナー/WEB/九州：福岡・沖縄",【週3日･4日･5日/】,【WEBデザイナー】旅館・ホテル等のWEBサイトを制作,"300,000円以上/ 月※ 消費税別の実際にお渡しする金額です",Webデザイナー,,週3日･4日･5日,九州：福岡・沖縄（大分）,デザインをはじめ、ホームページの構成から撮影までできるチーム編成により、質の高いホームページがワンストップでご提供が可能。目的やコンセプトに合わせて、「伝わる」ホームページを作り上げていきます。【業務内容】旅館・ホテル等のWEBサイトを作り上げていただきます。WEBサイト作成までの業務全般担当をご対応いただける方を募集しています。,Webデザイナー,,illustratorの使用経験WEBサイトの制作,宿泊業や飲食業などの衣食住に関するWEBサイト制作実績事業内容等に共感してくれる方,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","300,000円以上",九州：福岡・沖縄（大分）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105428,
49,49,50,https://lancersagent.com/project/designer/006165226381372251a8ee61a,"定番【週3日･4日･5日/UI/UXデザイナー】                                [UI/UX]業務拡大中の自社運営サービスのUIデザイン全般                            週3日･4日･5日 | 300,000〜600,000円 / 月UI/UXデザイナーHTML・CSS・JavaScript・jQuery・Photoshop・Illustrator週3日･4日･5日赤坂・永田町（国会議事堂前駅）業務拡大中の自社運営サービスのデザイン企画・制作、UIUXブラッシュアップなどデザインに関する業務全般を担当していただきます。エンジニアチームが開発を行うタイミングと同時進行で情報を共有しながらデザインの全フェーズを担当することが出来ます。詳細を見る",UI/UXデザイナー,HTML・CSS・JavaScript・jQuery・Photoshop・Illustrator,週3日･4日･5日,赤坂・永田町（国会議事堂前駅）,                [UI/UX]業務拡大中の自社運営サービスのUIデザイン全般 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/006165226381372251a8ee61a,"業務拡大中の自社運営サービスのデザイン企画・制作、UIUXブラッシュアップなどデザインに関する業務全般を担当していただきます。
エンジニアチームが開発を行うタイミングと同時進行で情報を共有しながらデザインの全フェーズを担当することが出来ます。/デザイナー/UI/UX/赤坂・永田町",【週3日･4日･5日/HTML・CSS・JavaScript】,[UI/UX]業務拡大中の自社運営サービスのUIデザイン全般,"300,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",UI/UXデザイナー,HTML・CSS・JavaScript,週3日･4日･5日,赤坂・永田町（国会議事堂前駅）,業務拡大中の自社運営サービスのデザイン企画・制作、UIUXブラッシュアップなどデザインに関する業務全般を担当していただきます。エンジニアチームが開発を行うタイミングと同時進行で情報を共有しながらデザインの全フェーズを担当することが出来ます。,UI/UXデザイナー,HTML・CSS・JavaScript・jQuery・Photoshop・Illustrator,以下を使用して、Webデザインの実務経験が1年以上ある方HTML／CSS／jQuery(JavaScript)Photoshop／Illustrator,・長期の方歓迎・平日週5勤務できる方歓迎・週3日以上の方も歓迎,週3日･4日･5日,"300,000〜600,000円",赤坂・永田町（国会議事堂前駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105427,
87,87,88,https://lancersagent.com/project/designer/00616510336834905eefe036,"定番【週3日/WEBデザイナー】                                【デザイナー】新事業の拡大に伴うWEBデザイン案件                            週3日 | 400,000円以上 / 月WEBデザイナーHTML・CSS・JavaScript週3日新橋・銀座・東京（新橋駅）2022/4～スタートした新ブランド（新商品）拡販に向けたマーケティング活動の中でWEBデザインの改修/制作をお願いいたします。詳細を見る",WEBデザイナー,HTML・CSS・JavaScript,週3日,新橋・銀座・東京（新橋駅）,                【デザイナー】新事業の拡大に伴うWEBデザイン案件 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/00616510336834905eefe036,"2022/4～スタートした新ブランド（新商品）拡販に向けたマーケティング活動の中で
WEBデザインの改修/制作をお願いいたします。/デザイナー/WEB/新橋・銀座・東京",【週3日/HTML・CSS・JavaScript】,【デザイナー】新事業の拡大に伴うWEBデザイン案件,"400,000円以上/ 月※ 消費税別の実際にお渡しする金額です",WEBデザイナー,HTML・CSS・JavaScript,週3日,新橋・銀座・東京（新橋駅）,2022/4～スタートした新ブランド（新商品）拡販に向けたマーケティング活動の中でWEBデザインの改修/制作をお願いいたします。,WEBデザイナー,HTML・CSS・JavaScript,・美容業界でのWEBデザイン経験・HTML/CSS/JavaScriptでのコーディング経験・ランディングページや広告バナーなどマーケティングの知見,・DTP領域のデザイン経験,週3日,"400,000円以上",新橋・銀座・東京（新橋駅）,業務委託,-,案件ID：000006105382,
121,121,122,https://lancersagent.com/project/designer/00616505874337976197c70e0,"定番【週4日/UI/UXデザイナー】                                【定番案件】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務                            週4日 | 600,000〜800,000円 / 月UI/UXデザイナーHTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React週4日品川（品川駅）資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。【案件内容】・解くべき課題の選定とそのために必要なリサーチ・課題に対する解決策の考案・解決策をワイヤーフレームでの可視化詳細を見る",UI/UXデザイナー,HTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React,週4日,品川（品川駅）,                【定番案件】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/designer/00616505874337976197c70e0,"資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。

【案件内容】
・解くべき課題の選定とそのために必要なリサーチ
・課題に対する解決策の考案
・解決策をワイヤーフレームでの可視化/デザイナー/WEB/品川",【週4日/HTML・CSS・JavaScript】,【定番案件】UI/UXデザイナー/自社サービスアプリのUI/UXデザイン業務,"600,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",UI/UXデザイナー,HTML・CSS・JavaScript,週4日,品川（品川駅）,資産管理アプリの利便性向上のために、課題選定と解決策の考案をしていただきます。【案件内容】・解くべき課題の選定とそのために必要なリサーチ・課題に対する解決策の考案・解決策をワイヤーフレームでの可視化,UI/UXデザイナー,HTML・CSS・JavaScript・Illustrator、Photoshop、Sketch、React,"・xd, figma等のデザインツールを利用できる方・Webデザインの実務経験・デザイン要件の定義経験・HTML/CSS/JSの実装、もしくはWordPressの運用構築経験・toB向けUIデザインの新規製作及び改善",Webサイトのデザインガイドラインの策定②システム開発経験③Material Design/Material Theming/Material Youの知見,"週4日                            
(ﾘﾓｰﾄ：一部可)","600,000〜800,000円",品川（品川駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105271,
136,136,137,https://lancersagent.com/project/designer/00616505880548576197c80af,"【週4日/WEBデザイナー】                                【即日&大募集】HTML,CSS　モーターパーツの販売事業会社でのWEBデザイナー                            週4日 | 300,000〜400,000円 / 月WEBデザイナーHTML・CSS・JavaScript・WordPress・‐週4日関西：大阪・京都・神戸（近鉄日本橋駅）【企業概要】弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています【業務内容】弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます詳細を見る",WEBデザイナー,HTML・CSS・JavaScript・WordPress・‐,週4日,関西：大阪・京都・神戸（近鉄日本橋駅）,"                【即日&大募集】HTML,CSS　モーターパーツの販売事業会社でのWEBデザイナー | ランサーズエージェント（Lancers Agent）            ",https://lancersagent.com//project/designer/00616505880548576197c80af,"【企業概要】
弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています
2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています

【業務内容】
弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます/デザイナー/WEB/関西：大阪・京都・神戸",【週4日/HTML・CSS・JavaScript】,                        ※ 消費税別の実際にお渡しする金額です                    ,"300,000〜400,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBデザイナー,HTML・CSS・JavaScript,週4日,関西：大阪・京都・神戸（近鉄日本橋駅）,【企業概要】弊社は日本全国に向けてモーターパーツの販売事業を中心に展開しています2005年の創業から多くの実績を残しており、現時点でWEBカタログの掲載商品点数は数十万点以上となっており、海外買い付け商品とオリジナルブランドを中心に取り扱っています【業務内容】弊社のWEBカタログやECサイトのWEBデザイン業務をご担当いただきます,WEBデザイナー,HTML・CSS・JavaScript・WordPress・‐,・バナー制作経験・WordPress等のCMS利用経験・HTML/CSS/JavaScriptでのコーディング経験,・SEOの知見・Web広告運用経験,"週4日                            
(ﾘﾓｰﾄ：一部可)","300,000〜400,000円",関西：大阪・京都・神戸（近鉄日本橋駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105286,
