,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
56,56,57,https://lancersagent.com/project/director/00616521805512414eefeb92,"定番【週5日/WEBディレクター】                                【EC運用業務】カラーコンタクトのECサイト運用案件                            週5日 | 400,000円以上 / 月WEBディレクター週5日新橋・銀座・東京（虎ノ門ヒルズ駅）【会社概要】カラーコンタクトレンズの企画・販売を手がけている当社。今回参画する方には、自社ECサイトの運営業務をお任せいたします。【業務内容】まずはサイト更新などの業務からスタートし、ゆくゆくは効果分析や企画、ディレクション業務にチャレンジできます。詳細を見る",WEBディレクター,,週5日,新橋・銀座・東京（虎ノ門ヒルズ駅）,                【EC運用業務】カラーコンタクトのECサイト運用案件 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616521805512414eefeb92,"【会社概要】
カラーコンタクトレンズの企画・販売を手がけている当社。
今回参画する方には、自社ECサイトの運営業務を
お任せいたします。

【業務内容】
まずはサイト更新などの業務からスタートし、
ゆくゆくは効果分析や企画、ディレクション業務に
チャレンジできます。/ディレクター/その他/新橋・銀座・東京",【週5日/】,【EC運用業務】カラーコンタクトのECサイト運用案件,"400,000円以上/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,,週5日,新橋・銀座・東京（虎ノ門ヒルズ駅）,【会社概要】カラーコンタクトレンズの企画・販売を手がけている当社。今回参画する方には、自社ECサイトの運営業務をお任せいたします。【業務内容】まずはサイト更新などの業務からスタートし、ゆくゆくは効果分析や企画、ディレクション業務にチャレンジできます。,WEBディレクター,,・ECサイト（自社/各大手モール）の運用経験・商品画像・情報のアップロードや修正・削除作業の経験,・商品企画の経験・アートデザインの経験,"週5日                            
(ﾘﾓｰﾄ：相談可)","400,000円以上",新橋・銀座・東京（虎ノ門ヒルズ駅）,業務委託,-,案件ID：000006105419,
57,57,58,https://lancersagent.com/project/director/00616521850212144eefe586,"定番【週5日/デザイン企画】                                【デザイン企画】カラーコンタクトのデザイン企画案件                            週5日 | 400,000円以上 / 月デザイン企画週5日新橋・銀座・東京（虎ノ門ヒルズ駅）カラーコンタクトレンズの企画・販売を手がけている当社。今回参画する方には、コンタクトのデザイン企画をお任せいたします。詳細を見る",デザイン企画,,週5日,新橋・銀座・東京（虎ノ門ヒルズ駅）,                【デザイン企画】カラーコンタクトのデザイン企画案件 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616521850212144eefe586,"カラーコンタクトレンズの企画・販売を手がけている当社。
今回参画する方には、コンタクトのデザイン企画を
お任せいたします。/ディレクター/その他/新橋・銀座・東京",【週5日/】,【デザイン企画】カラーコンタクトのデザイン企画案件,"400,000円以上/ 月※ 消費税別の実際にお渡しする金額です",デザイン企画,,週5日,新橋・銀座・東京（虎ノ門ヒルズ駅）,カラーコンタクトレンズの企画・販売を手がけている当社。今回参画する方には、コンタクトのデザイン企画をお任せいたします。,デザイン企画,,・何らかの商品企画又はデザイン企画に携わった経験,・illustrator/Photoshopのスキル,"週5日                            
(ﾘﾓｰﾄ：相談可)","400,000円以上",新橋・銀座・東京（虎ノ門ヒルズ駅）,業務委託,-,案件ID：000006105420,
71,71,72,https://lancersagent.com/project/director/00616518333228012f7cf1e7,"注目【週5日/コンテンツディレクター】                                [コンテンツディレクター]自社メディアコンテンツ設計から制作ディレクション業務                            週5日 | 600,000〜800,000円 / 月コンテンツディレクター週5日渋谷・新宿（恵比寿駅）今回は当社メインサービスで各種サービスのメディアコンテンツ設計を担当いただきます。詳細部分は下記記載及び面談内でご説明させていただきます。業界の革新を下支えするサービスとなりますのでやり甲斐を持って対応いただけるコンテンツディレクター様とご一緒したいと考えています。詳細を見る",コンテンツディレクター,,週5日,渋谷・新宿（恵比寿駅）,                [コンテンツディレクター]自社メディアコンテンツ設計から制作ディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616518333228012f7cf1e7,"今回は当社メインサービスで各種サービスのメディアコンテンツ設計を担当いただきます。

詳細部分は下記記載及び面談内でご説明させていただきます。
業界の革新を下支えするサービスとなりますのでやり甲斐を持って対応いただけるコンテンツディレクター様とご一緒したいと考えています。/ディレクター/ディレクションのみ/渋谷・新宿",【週5日/】,[コンテンツディレクター]自社メディアコンテンツ設計から制作ディレクション業務,"600,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",コンテンツディレクター,,週5日,渋谷・新宿（恵比寿駅）,今回は当社メインサービスで各種サービスのメディアコンテンツ設計を担当いただきます。詳細部分は下記記載及び面談内でご説明させていただきます。業界の革新を下支えするサービスとなりますのでやり甲斐を持って対応いただけるコンテンツディレクター様とご一緒したいと考えています。,コンテンツディレクター,,・Web制作会社やオウンドメディア運営会社のディレクターとしての実務経験・SEO分析と改善施策に関する実務経験・事業会社でのマーケターとしての実務経験・エンジニアやデザイナーとの協業経験・アクセス解析〜改善案の立案・実行までの実務経験,・オウンドメディアの運営経験・各種メディア立ち上げ経験・ライターとしての記事配信の経験・IT／医療／介護業界の知見のある方・Google Analytics などを利用したサイト分析経験▼人物像・受け身ではなく、自ら考え動ける方・仕組み化による競争力に貢献したい方・論理的思考、柔軟な発想力をお持ちの方・ビジネスをリードし、成長を実感したい方・スピード感をもって事業に取り組みたい方・テクノロジーを活用した事業に関心がある方・不確実性を恐れず、変化に柔軟に対応できる方,"週5日                            
(ﾘﾓｰﾄ：可)","600,000〜800,000円",渋谷・新宿（恵比寿駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105408,
86,86,87,https://lancersagent.com/project/director/00616510331474128195bc06e,"定番【週3日･4日･5日/Webディレクター（ECモール運用支援案件）】                                【EC運用コンサル・ディレクション】ECモールの運用コンサルティング                            週3日･4日･5日 | 600,000〜700,000円 / 月Webディレクター（ECモール運用支援案件）週3日･4日･5日五反田・恵比寿・六本木（渋谷駅）amazonに出店している企業様のamazonページの運用コンサル業務です。詳細を見る",Webディレクター（ECモール運用支援案件）,,週3日･4日･5日,五反田・恵比寿・六本木（渋谷駅）,                【EC運用コンサル・ディレクション】ECモールの運用コンサルティング | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00616510331474128195bc06e,zonに出店している企業様のamazonページの運用コンサル業務です。/ディレクター/ディレクションのみ/五反田・恵比寿・六本木,【週3日･4日･5日/】,【EC運用コンサル・ディレクション】ECモールの運用コンサルティング,"600,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",Webディレクター（ECモール運用支援案件）,,週3日･4日･5日,五反田・恵比寿・六本木（渋谷駅）,amazonに出店している企業様のamazonページの運用コンサル業務です。,Webディレクター（ECモール運用支援案件）,,・toBでECコンサルまたはサイト運用ディレクターのご経験がある方,・EC支援側でクライアント相手にモールを扱った経験のある方・モール事業者側の方（Amazonや楽天出身者/カスタマーサクセス側の方）・自社商品をモールで販売していて運用方法をご存知の,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","600,000〜700,000円",五反田・恵比寿・六本木（渋谷駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105381,
118,118,119,https://lancersagent.com/project/director/006165088261863431760011b,"定番【週5日/コンテンツディレクター】                                【ディレクター】組織変革コンテンツディレクター                            週5日 | 400,000円以上 / 月コンテンツディレクター週5日五反田・恵比寿・六本木（六本木駅）【業務内容】・クライアントの人事課題や組織課題に対して、解決策として社内向け記事コンテンツの企画・提案※記事制作に関しては、基本的に弊社内のエディターや外部パートナーのライターと連携しながら進めていただくことを想定しておりますが、企画と合わせて執筆作業を担当いただく場合もございます詳細を見る",コンテンツディレクター,,週5日,五反田・恵比寿・六本木（六本木駅）,                【ディレクター】組織変革コンテンツディレクター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/006165088261863431760011b,"【業務内容】
・クライアントの人事課題や組織課題に対して、解決策として社内向け記事コンテンツの企画・提案※記事制作に関しては、基本的に弊社内のエディターや外部パートナーのライターと連携しながら進めていただくことを想定しておりますが、企画と合わせて執筆作業を担当いただく場合もございます/ディレクター/その他/五反田・恵比寿・六本木",【週5日/】,【ディレクター】組織変革コンテンツディレクター,"400,000円以上/ 月※ 消費税別の実際にお渡しする金額です",コンテンツディレクター,,週5日,五反田・恵比寿・六本木（六本木駅）,【業務内容】・クライアントの人事課題や組織課題に対して、解決策として社内向け記事コンテンツの企画・提案※記事制作に関しては、基本的に弊社内のエディターや外部パートナーのライターと連携しながら進めていただくことを想定しておりますが、企画と合わせて執筆作業を担当いただく場合もございます,コンテンツディレクター,,・BtoB事業におけるクライアント社内向け記事コンテンツの企画・制作の経験・組織風土改革、インナーブランディング、人材開発への強い興味関心をお持ちの方・当社のミッション「ビジネスパーソンと企業に、きっかけと創造力を」に共感してくださる方・当社のThe 7 Valuesに共感してくださる方,-,"週5日                            
(ﾘﾓｰﾄ：可)","400,000円以上",五反田・恵比寿・六本木（六本木駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105363,
234,234,235,https://lancersagent.com/project/director/006165058260204421a8dca93,"定番【週5日/WEBディレクター（デザイナー含）】                                【WEBディレクター】WEBデザイナー兼クリエイティブディレクター                            週5日 | 340,000円以上 / 月WEBディレクター（デザイナー含）週5日赤坂・永田町（赤坂駅、乃木坂駅）【会社概要】WEB制作を通じてクリエイティブな視点からアイデアを提案して実現させる。企業価値向上のお⼿伝いをさせていただきます。【案件概要】WEBデザイナーとしてデザイン業務、作成WEBディレクターとして、クライアントの魅力を引き出し、ブランディングや集客につながるような企画提案、制作進行管理をお任せいたします。詳細を見る",WEBディレクター（デザイナー含）,,週5日,赤坂・永田町（赤坂駅、乃木坂駅）,                【WEBディレクター】WEBデザイナー兼クリエイティブディレクター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/006165058260204421a8dca93,"【会社概要】
WEB制作を通じてクリエイティブな視点からアイデアを提案して実現させる。企業価値向上のお⼿伝いをさせていただきます。
【案件概要】
WEBデザイナーとしてデザイン業務、作成WEBディレクターとして、クライアントの魅力を引き出し、ブランディングや集客につながるような企画提案、制作進行管理をお任せいたします。


/ディレクター/その他/赤坂・永田町",【週5日/】,【WEBディレクター】WEBデザイナー兼クリエイティブディレクター,"340,000円以上/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター（デザイナー含）,,週5日,赤坂・永田町（赤坂駅、乃木坂駅）,【会社概要】WEB制作を通じてクリエイティブな視点からアイデアを提案して実現させる。企業価値向上のお⼿伝いをさせていただきます。【案件概要】WEBデザイナーとしてデザイン業務、作成WEBディレクターとして、クライアントの魅力を引き出し、ブランディングや集客につながるような企画提案、制作進行管理をお任せいたします。,WEBディレクター（デザイナー含）,,・WEBデザイナーとしてデザイン業務・ディレクターとしてWEBサイトの企画立案・要件定義・サイトマップ作成、進行管理,UI UXの構成検討,"週5日                            
(ﾘﾓｰﾄ：一部可)","340,000円以上",赤坂・永田町（赤坂駅、乃木坂駅）,業務委託,,案件ID：000006105269,
345,345,346,https://lancersagent.com/project/director/0061645096110035215e56546,"注目【週5日/開発ディレクター】                                自社サービスにおける開発ディレクション業務                            週5日 | 300,000〜500,000円 / 月開発ディレクターHTML・CSS・JavaScript・PHP・Vue.js週5日東京23区以外（不問（シンガポール））【概要】当グループ会社のお客様が利用するアプリケーションの動作や、各種ツール、Webサービスの環境全般を管理・監視し、安定したサービスを提供するために必要な業務を行っていただきます。・サイト構築用のサーバの環境や仕様の理解・各サーバ関係の窓口業務・サーバの管理や設定、稼働監視・アカウント管理/設定・サーバ運用詳細を見る",開発ディレクター,HTML・CSS・JavaScript・PHP・Vue.js,週5日,東京23区以外（不問（シンガポール））,                自社サービスにおける開発ディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061645096110035215e56546,"【概要】
当グループ会社のお客様が利用するアプリケーションの動作や、各種ツール、Webサービスの環境全般を管理・監視し、安定したサービスを提供するために必要な業務を行っていただきます。

・サイト構築用のサーバの環境や仕様の理解
・各サーバ関係の窓口業務
・サーバの管理や設定、稼働監視
・アカウント管理/設定
・サーバ運用/ディレクター/実務含む/東京23区以外",【週5日/HTML・CSS・JavaScript・PHP】,自社サービスにおける開発ディレクション業務,"300,000〜500,000円/ 月※ 消費税別の実際にお渡しする金額です",開発ディレクター,HTML・CSS・JavaScript・PHP,週5日,東京23区以外（不問（シンガポール））,【概要】当グループ会社のお客様が利用するアプリケーションの動作や、各種ツール、Webサービスの環境全般を管理・監視し、安定したサービスを提供するために必要な業務を行っていただきます。・サイト構築用のサーバの環境や仕様の理解・各サーバ関係の窓口業務・サーバの管理や設定、稼働監視・アカウント管理/設定・サーバ運用,開発ディレクター,HTML・CSS・JavaScript・PHP・Vue.js,"・ITエンジニアとしての何らかの実務経験者（サーバ運用保守等）・Windowsの十分な操作実務経験・Officeアプリケーション（Excel、Word）の基礎～中級レベルの操作が可能な方・Googleスプレッドシートの操作が可能な方・Webアプリケーションの操作に慣れている方""",・ビジネスレベルの英語力 習得者・FX、株式等のトレーディングアプリケーションの利用経験者・システム品質管理の実務経験者・SEまたはPG、PMの実務経験者・ポジショニング管理の経験者・VisualBasic・Excel（マクロ）の簡単な操作が可能な方・AWSの運用経験者,"週5日                            
(ﾘﾓｰﾄ：可)","300,000〜500,000円",東京23区以外（不問（シンガポール））,業務委託,"フルリモート案件
稼働時間：9:00-18:00
※報酬額は【週5日（月20日）換算】した際の金額です",案件ID：000006101594,
817,817,818,https://lancersagent.com/project/director/00615934266051309f7ce5a6,"注目【週3日･4日･5日/WEBディレクター】                                【WEBディレクター】 ECサイト・リプレースプロジェクトのディレクター                            週3日･4日･5日 | 600,000〜750,000円 / 月WEBディレクター・CRM施策の参画経験・UX設計、PDCAサイクルでの改善のご経験・WEBプロジェクトでのディレクターのご経験週3日･4日･5日新橋・銀座・東京（小伝馬町駅）主にCMS/発送管理/顧客管理/在庫管理/生産管理（サプライチェーン）の再構築での業務分析、カスタマーサクセスを担っていただきます。詳細を見る",WEBディレクター,・CRM施策の参画経験・UX設計、PDCAサイクルでの改善のご経験・WEBプロジェクトでのディレクターのご経験,週3日･4日･5日,新橋・銀座・東京（小伝馬町駅）,                【WEBディレクター】 ECサイト・リプレースプロジェクトのディレクター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/00615934266051309f7ce5a6,主にCMS/発送管理/顧客管理/在庫管理/生産管理（サプライチェーン）の再構築での業務分析、カスタマーサクセスを担っていただきます。/ディレクター/ディレクションのみ/新橋・銀座・東京,【週3日･4日･5日/】,【WEBディレクター】 ECサイト・リプレースプロジェクトのディレクター,"600,000〜750,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,,週3日･4日･5日,新橋・銀座・東京（小伝馬町駅）,主にCMS/発送管理/顧客管理/在庫管理/生産管理（サプライチェーン）の再構築での業務分析、カスタマーサクセスを担っていただきます。,WEBディレクター,"・CRM施策の参画経験
・UX設計、PDCAサイクルでの改善のご経験
・WEBプロジェクトでのディレクターのご経験",・CRM施策の参画経験・UX設計、PDCAサイクルでの改善のご経験・WEBプロジェクトでのディレクターのご経験,・UML作図（ユースケース図、シーケンス図）・開発リーダー/PM経験,"週3日･4日･5日                            
(ﾘﾓｰﾄ：相談可)","600,000〜750,000円",新橋・銀座・東京（小伝馬町駅）,業務委託,"・UML作図（ユースケース図、シーケンス図）
・開発リーダー/PM経験",案件ID：000006098649,
988,988,989,https://lancersagent.com/project/director/0061649746119152319d8c24c,"定番【週3日･4日･5日/ Webディレクター】                                【webディレクター】                            週3日･4日･5日 | 400,000〜600,000円 / 月 Webディレクター週3日･4日･5日品川（品川駅）大手Webサービス／Webサイト制作、運用 企業HR系プロダクトのアジャイル開発において、ディレクション業務- 制作ディレクション- 制作における調査・提案- ステークホルダーとの折衝、調整 等詳細を見る", Webディレクター,,週3日･4日･5日,品川（品川駅）,                【webディレクター】 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061649746119152319d8c24c,"大手Webサービス／Webサイト制作、運用 企業
HR系プロダクトのアジャイル開発において、ディレクション業務
- 制作ディレクション
- 制作における調査・提案
- ステークホルダーとの折衝、調整 等/ディレクター/ディレクションのみ/品川",【週3日･4日･5日/】,【webディレクター】,"400,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",Webディレクター,,週3日･4日･5日,品川（品川駅）,大手Webサービス／Webサイト制作、運用 企業HR系プロダクトのアジャイル開発において、ディレクション業務- 制作ディレクション- 制作における調査・提案- ステークホルダーとの折衝、調整 等,Webディレクター,,プロダクトの制作ディレクション経験もしくは、HR系サービスの制作ディレクション経験アジャイル開発経験サイト構造設計、画面設計のいずれかの経験クライアントのフロント対応窓口の経験,デザイン、実装、バックエンド領域への理解UXを考慮した設計経験クライアントへの企画提案経験,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","400,000〜600,000円",品川（品川駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006104619,
1528,1528,1529,https://lancersagent.com/project/director/0061648789037704419d8c41a,"定番【週1日･2日･3日･4日･5日/システムディレクター・システムアーキテクト】                                【システムディレクター】サービスの新規立ち上げ・リニューアルのシステムディレクション業務                            週1日･2日･3日･4日･5日 | 400,000〜1,000,000円 / 月システムディレクター・システムアーキテクトPHP・Python・AWS週1日･2日･3日･4日･5日渋谷・新宿（千駄ヶ谷駅）自社パッケージを用いた中〜大規模のWEBサービス立ち上げにおける要件定義/設計/開発管理などのシステム業務全般におけるシステムディレクションをお任せします。開発チームをリードしながら、技術・知識を身につけ、そしてリーダーシップを発揮し、ディレクター経験を重ねていただき、PM・PLとしての活躍を期待しています。マネジメントで培った経験を活かし、メンバー育成も担っていただきます。詳細を見る",システムディレクター・システムアーキテクト,PHP・Python・AWS,週1日･2日･3日･4日･5日,渋谷・新宿（千駄ヶ谷駅）,                【システムディレクター】サービスの新規立ち上げ・リニューアルのシステムディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0061648789037704419d8c41a,"自社パッケージを用いた中〜大規模のWEBサービス立ち上げにおける要件定義/設計/開発管理などのシステム業務全般におけるシステムディレクションをお任せします。
開発チームをリードしながら、技術・知識を身につけ、そしてリーダーシップを発揮し、ディレクター経験を重ねていただき、PM・PLとしての活躍を期待しています。
マネジメントで培った経験を活かし、メンバー育成も担っていただきます。
/ディレクター/実務含む/渋谷・新宿",【週1日･2日･3日･4日･5日/PHP・Python】,【システムディレクター】サービスの新規立ち上げ・リニューアルのシステムディレクション業務,"400,000〜1,000,000円/ 月※ 消費税別の実際にお渡しする金額です",システムディレクター・システムアーキテクト,PHP・Python,週1日･2日･3日･4日･5日,渋谷・新宿（千駄ヶ谷駅）,自社パッケージを用いた中〜大規模のWEBサービス立ち上げにおける要件定義/設計/開発管理などのシステム業務全般におけるシステムディレクションをお任せします。開発チームをリードしながら、技術・知識を身につけ、そしてリーダーシップを発揮し、ディレクター経験を重ねていただき、PM・PLとしての活躍を期待しています。マネジメントで培った経験を活かし、メンバー育成も担っていただきます。,システムディレクター・システムアーキテクト,PHP・Python・AWS,■	Webサービスの機能設計の経験■	AWSをはじめとするクラウド技術を用いた設計および実装経験■	PHPを用いたアプリケーション開発・運用保守経験■	Gitを用いた開発経験■	Webアプリケーションの運用保守経験,■	アーキテクチャを構想し実装することで業務もしくは開発組織の課題を解決した経験（プラットフォームや採用技術不問）■	Webサービスのアプリケーション設計、データベース設計の経験■	Webプロジェクト開発リーダーとして要件定義～リリースまでの経験■	プロジェクトマネジメント経験 （規模不問）■	Webサービスのインフラ設計の経験,"週1日･2日･3日･4日･5日                            
(ﾘﾓｰﾄ：可)","400,000〜1,000,000円",渋谷・新宿（千駄ヶ谷駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006104046,
