,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
5,5,6,https://lancersagent.com/project/pm/0061650943719225615e56863,"新着｜注目【週5日/PMO】                                【PM】暗金融系サービス（システム）リリースに伴うPM（サポート）業務                            週5日 | 600,000円以上 / 月PMOSwift・Kotlin週5日新橋・銀座・東京（御成門）■契約期間 ： 5月～　※長期前提■作業場所 ： 必要に応じて顧客先orテレワーク■契約形態 ： 準委任詳細を見る",PMO,Swift・Kotlin,週5日,新橋・銀座・東京（御成門）,                【PM】暗金融系サービス（システム）リリースに伴うPM（サポート）業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/0061650943719225615e56863,"■契約期間 ： 5月～　※長期前提
■作業場所 ： 必要に応じて顧客先orテレワーク
■契約形態 ： 準委任/PM/その他/新橋・銀座・東京",【週5日/Swift・Kotlin】,【PM】暗金融系サービス（システム）リリースに伴うPM（サポート）業務,"600,000円以上/ 月※ 消費税別の実際にお渡しする金額です",PMO,Swift・Kotlin,週5日,新橋・銀座・東京（御成門）,■契約期間 ： 5月～　※長期前提■作業場所 ： 必要に応じて顧客先orテレワーク■契約形態 ： 準委任,PMO,Swift・Kotlin,"・要件定義～詳細設計・金融情報（データ）知見・C#,Java,JavaScript,Linux知見・上流系PM、PMO経験",・インフラ系知見・経験・アプリ、データの内容を理解し、顧客業務内容に踏み込んだ要件定義を進められる・プロジェクト調整能力,"週5日                            
(ﾘﾓｰﾄ：一部可)","600,000円以上",新橋・銀座・東京（御成門）,業務委託,,案件ID：000006105372,
6,6,7,https://lancersagent.com/project/pm/006165105173335291a8f0f02,"新着｜定番【週5日/プロジェクトリーダー】                                【PL】帳票・書類電子化(業務DX)のプランニングフェーズ支援                            週5日 | 600,000〜1,200,000円 / 月プロジェクトリーダー週5日五反田・恵比寿・六本木（-）大手建設業における帳票・書類電子化(業務DX)のプランニングフェーズを支援。ペーパーレス・ハンコレスのガイドライン策定。ガイドライン策定後、周知活動を行い、電子化を推進していっていただきます。プロジェクトリーダーとして顧客折衝やMTG目的設定、MTGファシリやヒアリングの実施ととりまとめ、討議資料及びドキュメント作成を担当いただきます。詳細を見る",プロジェクトリーダー,,週5日,五反田・恵比寿・六本木（-）,                【PL】帳票・書類電子化(業務DX)のプランニングフェーズ支援 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/006165105173335291a8f0f02,"大手建設業における帳票・書類電子化(業務DX)のプランニングフェーズを支援。
ペーパーレス・ハンコレスのガイドライン策定。
ガイドライン策定後、周知活動を行い、電子化を推進していっていただきます。
プロジェクトリーダーとして顧客折衝やMTG目的設定、MTGファシリやヒアリングの実施ととりまとめ、討議資料及びドキュメント作成を担当いただきます。/PM/管理のみ/五反田・恵比寿・六本木",【週5日/】,【PL】帳票・書類電子化(業務DX)のプランニングフェーズ支援,"600,000〜1,200,000円/ 月※ 消費税別の実際にお渡しする金額です",プロジェクトリーダー,,週5日,五反田・恵比寿・六本木（-）,大手建設業における帳票・書類電子化(業務DX)のプランニングフェーズを支援。ペーパーレス・ハンコレスのガイドライン策定。ガイドライン策定後、周知活動を行い、電子化を推進していっていただきます。プロジェクトリーダーとして顧客折衝やMTG目的設定、MTGファシリやヒアリングの実施ととりまとめ、討議資料及びドキュメント作成を担当いただきます。,プロジェクトリーダー,,・コアコンサルスキル・業務改善PJ就業経験,・ペーパーレスに伴うシステム導入、システム運用推進案件経験・コーポレート部門とのPJ経験,"週5日                            
(ﾘﾓｰﾄ：可)","600,000〜1,200,000円",五反田・恵比寿・六本木（-）,業務委託,-,案件ID：000006105386,
7,7,8,https://lancersagent.com/project/pm/00616528781296403e80142a,"新着｜注目【週5日/PMO】                                【PMO】大手金融会社向けPMO業務                            週5日 | 700,000〜1,000,000円 / 月PMO週5日品川（品川駅）【業務内容】・英語を使ったPMO業務を担っていただける方を募集いたします。Lステークホルダーとの会議体の推進Lクライアントへの報告Lスケジュール、課題の管理【勤務地】基本リモート、出社の場合品川【出社頻度】基本リモート予定【時間】9:00-18:00【期間】即日or６月〜詳細を見る",PMO,,週5日,品川（品川駅）,                【PMO】大手金融会社向けPMO業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/00616528781296403e80142a,"【業務内容】
・英語を使ったPMO業務を担っていただける方を募集いたします。
Lステークホルダーとの会議体の推進
Lクライアントへの報告
Lスケジュール、課題の管理

【勤務地】基本リモート、出社の場合品川
【出社頻度】基本リモート予定
【時間】9:00-18:00
【期間】即日or６月〜/PM/管理のみ/品川",【週5日/】,【PMO】大手金融会社向けPMO業務,"700,000〜1,000,000円/ 月※ 消費税別の実際にお渡しする金額です",PMO,,週5日,品川（品川駅）,【業務内容】・英語を使ったPMO業務を担っていただける方を募集いたします。Lステークホルダーとの会議体の推進Lクライアントへの報告Lスケジュール、課題の管理【勤務地】基本リモート、出社の場合品川【出社頻度】基本リモート予定【時間】9:00-18:00【期間】即日or６月〜,PMO,,・ITコンサル経験・英会話のご経験・英語の読み書き・PMO経験,・金融業界経験・Netcracker経験,"週5日                            
(ﾘﾓｰﾄ：一部可)","700,000〜1,000,000円",品川（品川駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105455,
35,35,36,https://lancersagent.com/project/pm/006165243407190611a8e80c7,"定番【週4日･5日/PM】                                【PM】国のデジタル人材育成プロジェクトに必要なプロダクト開発                            週4日･5日 | 500,000〜800,000円 / 月PMJavaScript・PHP・Laravel・Vue.js週4日･5日渋谷・新宿（小川町駅）【お任せしたい仕事内容例】国の案件ですが、かっちり決まった仕様があるわけでなく、変化に柔軟に対応する必要があります。・少数チームのプロジェクトマネジメント経験・ウォーターフォール型の開発ではなく、アジャイル形式のスピード感ある開発経験・要件定義、開発優先度決め、開発スケジュールの調整、顧客・ユーザ対応・開発チームの生産性を向上する為の提案・開発チームの技術的なチャレンジ推進詳細を見る",PM,JavaScript・PHP・Laravel・Vue.js,週4日･5日,渋谷・新宿（小川町駅）,                【PM】国のデジタル人材育成プロジェクトに必要なプロダクト開発 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/006165243407190611a8e80c7,"【お任せしたい仕事内容例】
国の案件ですが、かっちり決まった仕様があるわけでなく、変化に柔軟に対応する必要があります。
・少数チームのプロジェクトマネジメント経験
・ウォーターフォール型の開発ではなく、アジャイル形式のスピード感ある開発経験
・要件定義、開発優先度決め、開発スケジュールの調整、顧客・ユーザ対応
・開発チームの生産性を向上する為の提案
・開発チームの技術的なチャレンジ推進/PM/その他/渋谷・新宿",【週4日･5日/JavaScript・PHP】,【PM】国のデジタル人材育成プロジェクトに必要なプロダクト開発,"500,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",PM,JavaScript・PHP,週4日･5日,渋谷・新宿（小川町駅）,【お任せしたい仕事内容例】国の案件ですが、かっちり決まった仕様があるわけでなく、変化に柔軟に対応する必要があります。・少数チームのプロジェクトマネジメント経験・ウォーターフォール型の開発ではなく、アジャイル形式のスピード感ある開発経験・要件定義、開発優先度決め、開発スケジュールの調整、顧客・ユーザ対応・開発チームの生産性を向上する為の提案・開発チームの技術的なチャレンジ推進,PM,JavaScript・PHP・Laravel・Vue.js,・少数チームのプロジェクトマネジメント経験・ウォーターフォール型の開発ではなく、アジャイル形式のスピード感ある開発経験・要件定義、開発優先度決め、開発スケジュールの調整、顧客・ユーザ対応経験,・開発チームの生産性を向上するための提案のご経験・開発チームの技術的なチャレンジの推進のご経験・自社サービス開発・グロースハック経験・オープンソースプロジェクトの理解や参加経験・データ分析・統計解析・機械学習・データマイニングに関する実務経験・一般知識,"週4日･5日                            
(ﾘﾓｰﾄ：可)","500,000〜800,000円",渋谷・新宿（小川町駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105444,
36,36,37,https://lancersagent.com/project/pm/006165243417622661a8e6735,"定番【週4日･5日/PM】                                【PM】国のデジタル人材育成プロジェクトに必要なプロダクト開発                            週4日･5日 | 500,000〜800,000円 / 月PMJavaScript・PHP・Laravel・Vue.js週4日･5日渋谷・新宿（小川町駅）【お任せしたい仕事内容例】国の案件ですが、かっちり決まった仕様があるわけでなく、変化に柔軟に対応する必要があります。・少数チームのプロジェクトマネジメント経験・ウォーターフォール型の開発ではなく、アジャイル形式のスピード感ある開発経験・要件定義、開発優先度決め、開発スケジュールの調整、顧客・ユーザ対応・開発チームの生産性を向上する為の提案・開発チームの技術的なチャレンジ推進詳細を見る",PM,JavaScript・PHP・Laravel・Vue.js,週4日･5日,渋谷・新宿（小川町駅）,                【PM】国のデジタル人材育成プロジェクトに必要なプロダクト開発 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/006165243417622661a8e6735,"【お任せしたい仕事内容例】
国の案件ですが、かっちり決まった仕様があるわけでなく、変化に柔軟に対応する必要があります。
・少数チームのプロジェクトマネジメント経験
・ウォーターフォール型の開発ではなく、アジャイル形式のスピード感ある開発経験
・要件定義、開発優先度決め、開発スケジュールの調整、顧客・ユーザ対応
・開発チームの生産性を向上する為の提案
・開発チームの技術的なチャレンジ推進/PM/その他/渋谷・新宿",【週4日･5日/JavaScript・PHP】,【PM】国のデジタル人材育成プロジェクトに必要なプロダクト開発,"500,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",PM,JavaScript・PHP,週4日･5日,渋谷・新宿（小川町駅）,【お任せしたい仕事内容例】国の案件ですが、かっちり決まった仕様があるわけでなく、変化に柔軟に対応する必要があります。・少数チームのプロジェクトマネジメント経験・ウォーターフォール型の開発ではなく、アジャイル形式のスピード感ある開発経験・要件定義、開発優先度決め、開発スケジュールの調整、顧客・ユーザ対応・開発チームの生産性を向上する為の提案・開発チームの技術的なチャレンジ推進,PM,JavaScript・PHP・Laravel・Vue.js,・少数チームのプロジェクトマネジメント経験・ウォーターフォール型の開発ではなく、アジャイル形式のスピード感ある開発経験・要件定義、開発優先度決め、開発スケジュールの調整、顧客・ユーザ対応経験,・開発チームの生産性を向上するための提案のご経験・開発チームの技術的なチャレンジの推進のご経験・自社サービス開発・グロースハック経験・オープンソースプロジェクトの理解や参加経験・データ分析・統計解析・機械学習・データマイニングに関する実務経験・一般知識,"週4日･5日                            
(ﾘﾓｰﾄ：可)","500,000〜800,000円",渋谷・新宿（小川町駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105445,
53,53,54,https://lancersagent.com/project/pm/006165215278504441a60a376,"定番【週5日/PM/PdM】                                コンシューマ向け年賀状印刷アプリ開発案件におけるディレクター/PM/PdM                            週5日 | 500,000〜950,000円 / 月PM/PdM週5日新橋・銀座・東京（有楽町駅）既存のコンシューマ向けスマホアプリ開発業務におけるディレクション業務全般をメインに行なっていただきます。現場PMの方と並走、または補佐いただけるような方を募集します。・仕様策定・スケジュール策定・制作管理・外注管理・進捗管理等詳細を見る",PM/PdM,,週5日,新橋・銀座・東京（有楽町駅）,                コンシューマ向け年賀状印刷アプリ開発案件におけるディレクター/PM/PdM | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/006165215278504441a60a376,"既存のコンシューマ向けスマホアプリ開発業務における
ディレクション業務全般をメインに行なっていただきます。
現場PMの方と並走、または補佐いただけるような方を募集します。
・仕様策定
・スケジュール策定
・制作管理
・外注管理
・進捗管理
等/PM/管理のみ/新橋・銀座・東京",【週5日/】,コンシューマ向け年賀状印刷アプリ開発案件におけるディレクター/PM/PdM,"500,000〜950,000円/ 月※ 消費税別の実際にお渡しする金額です",PM/PdM,,週5日,新橋・銀座・東京（有楽町駅）,既存のコンシューマ向けスマホアプリ開発業務におけるディレクション業務全般をメインに行なっていただきます。現場PMの方と並走、または補佐いただけるような方を募集します。・仕様策定・スケジュール策定・制作管理・外注管理・進捗管理等,PM/PdM,,・スマホアプリ開発案件への参画のご経験（2年以上）コード書いたり、読んだりの経験なしでもOK,・ベンターコントロールのご経験・DB/APIに関する開発仕様策定のご経験・事業会社でのご経験,"週5日                            
(ﾘﾓｰﾄ：可)","500,000〜950,000円",新橋・銀座・東京（有楽町駅）,業務委託,,案件ID：000006105415,
58,58,59,https://lancersagent.com/project/pm/006165219141646041a8daec1,"定番【週3日･4日･5日/PM】                                【PM】Webアプリケーション開発におけるプロダクトマネジメント                            週3日･4日･5日 | 800,000円 / 月PM週3日･4日･5日渋谷・新宿（渋谷）【企業紹介】弊社は教育分野における正しい教育測定技術の研究開発およびその成果である正しいテスト法の流布・流通を通して、効果的な教育の実践、ひいては個人個人の能力の発展に寄与しています。【案件概要】外部のベンダーと協力しながらWebアプリケーションの開発に携わっていただきます。事業側と技術者をつなぐマネジメント人材を募集しています。詳細を見る",PM,,週3日･4日･5日,渋谷・新宿（渋谷）,                【PM】Webアプリケーション開発におけるプロダクトマネジメント | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/006165219141646041a8daec1,"【企業紹介】
弊社は教育分野における正しい教育測定技術の研究開発および
その成果である正しいテスト法の流布・流通を通して、効果的な教育の実践、
ひいては個人個人の能力の発展に寄与しています。

【案件概要】
外部のベンダーと協力しながらWebアプリケーションの開発に携わっていただきます。
事業側と技術者をつなぐマネジメント人材を募集しています。
/PM/実務含む/渋谷・新宿",【週3日･4日･5日/】,【PM】Webアプリケーション開発におけるプロダクトマネジメント,"800,000円/ 月※ 消費税別の実際にお渡しする金額です",PM,,週3日･4日･5日,渋谷・新宿（渋谷）,【企業紹介】弊社は教育分野における正しい教育測定技術の研究開発およびその成果である正しいテスト法の流布・流通を通して、効果的な教育の実践、ひいては個人個人の能力の発展に寄与しています。【案件概要】外部のベンダーと協力しながらWebアプリケーションの開発に携わっていただきます。事業側と技術者をつなぐマネジメント人材を募集しています。,PM,,・上流～下流工程までの開発あるいはマネジメント経験・事業側とビジネス側の折衝経験・コードレビューができる程度の開発経験・検収経験,・Reactなどモダンなフレームワークの知識・Open ID Connect(Googleアカウントなどの連携機能)の実装経験・ビジネス英語への耐性（必須ではないので英語力に自信がなくても問題ない）,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","800,000円",渋谷・新宿（渋谷）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105421,
75,75,76,https://lancersagent.com/project/pm/0061651470748059615e5578c,"定番【週5日/PMO】                                【PMO】大手ECサイト改修支援（管理・推進事務局）                            週5日 | 500,000〜600,000円 / 月PMO週5日品川（三田駅）　①全体テスト管理、推進業務　　・各種テスト計画支援　　・テスト仕様書フォーマット、ドラフト作成支援　　・各ベンダ調整（テスト計画の確認や日程調整等）　　・会議体のファシリテート　　・各種テスト進捗管理、品質管理支援　②移行に関する管理、推進業務　　・移行リハ計画、各ベンダ調整、実施管理支援　　・会議体のファシリテート詳細を見る",PMO,,週5日,品川（三田駅）,                【PMO】大手ECサイト改修支援（管理・推進事務局） | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/0061651470748059615e5578c,"　①全体テスト管理、推進業務
　　・各種テスト計画支援
　　・テスト仕様書フォーマット、ドラフト作成支援
　　・各ベンダ調整（テスト計画の確認や日程調整等）
　　・会議体のファシリテート
　　・各種テスト進捗管理、品質管理支援
　②移行に関する管理、推進業務
　　・移行リハ計画、各ベンダ調整、実施管理支援
　　・会議体のファシリテート/PM/管理のみ/品川",【週5日/】,【PMO】大手ECサイト改修支援（管理・推進事務局）,"500,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",PMO,,週5日,品川（三田駅）,①全体テスト管理、推進業務・各種テスト計画支援・テスト仕様書フォーマット、ドラフト作成支援・各ベンダ調整（テスト計画の確認や日程調整等）・会議体のファシリテート・各種テスト進捗管理、品質管理支援②移行に関する管理、推進業務・移行リハ計画、各ベンダ調整、実施管理支援・会議体のファシリテート,PMO,,・システム開発案件におけるテストまたは移行経験（ベンダ側、クライアント側いずれかの経験）・コミュニケーション力,・マルチベンダ案件でのテストまたは移行経験・各種テスト・移行フェーズでのリーダー経験・品質管理の実施経験・PMO経験・ECサイト構築・改修案件の経験,"週5日                            
(ﾘﾓｰﾄ：可)","500,000〜600,000円",品川（三田駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105398,
80,80,81,https://lancersagent.com/project/pm/00616448013569448179cb77a,"定番【週5日/PM】                                【PM】自社システム開発(アドバイザリーチャットポッド)のプロジェクトマネジメント                            週5日 | 800,000〜1,200,000円 / 月PMJavaScript・PHP週5日品川（品川駅）〈案件内容〉・自社グループの利便性や各種KPIの向上のための、新サービスの機能の開発・自社グループにおける新しいサービス・機能のフィージビリティスタディ・社内システムの企画、要件定義詳細を見る",PM,JavaScript・PHP,週5日,品川（品川駅）,                【PM】自社システム開発(アドバイザリーチャットポッド)のプロジェクトマネジメント | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/00616448013569448179cb77a,"〈案件内容〉
・自社グループの利便性や各種KPIの向上のための、新サービスの機能の開発
・自社グループにおける新しいサービス・機能のフィージビリティスタディ
・社内システムの企画、要件定義
/PM/その他/品川",【週5日/JavaScript・PHP】,【PM】自社システム開発(アドバイザリーチャットポッド)のプロジェクトマネジメント,"800,000〜1,200,000円/ 月※ 消費税別の実際にお渡しする金額です",PM,JavaScript・PHP,週5日,品川（品川駅）,〈案件内容〉・自社グループの利便性や各種KPIの向上のための、新サービスの機能の開発・自社グループにおける新しいサービス・機能のフィージビリティスタディ・社内システムの企画、要件定義,PM,JavaScript・PHP,・プロジェクト推進するためのタスク設計と社内外との連携・調整力・プロジェクトマネジメント経験（経験年数不問),①情報システム部での業務経験（経験年数不問）②ソフトウエア品質保証マネジメント経験（経験年数不問）③周囲を巻き込み、導いていくファシリテーション能力,"週5日                            
(ﾘﾓｰﾄ：可)","800,000〜1,200,000円",品川（品川駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006101297,
89,89,90,https://lancersagent.com/project/pm/00616510388968388175ffcd6,"定番【週5日/PM】                                【PM】開発チームのプロジェクトマネージャー                            週5日 | 400,000〜740,000円 / 月PM週5日新橋・銀座・東京（東京駅）【業務内容】・プロダクトオーナーと共に各PDT、PJTの開発進捗確認・管理を行う・開発仕様の検討・プロダクト開発の推進→エンジニアマネージャーの補佐として、社内の全事業の開発に携わります詳細を見る",PM,,週5日,新橋・銀座・東京（東京駅）,                【PM】開発チームのプロジェクトマネージャー | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/pm/00616510388968388175ffcd6,"【業務内容】
・プロダクトオーナーと共に各PDT、PJTの開発進捗確認・管理を行う
・開発仕様の検討
・プロダクト開発の推進

→エンジニアマネージャーの補佐として、社内の全事業の開発に携わります/PM/その他/新橋・銀座・東京",【週5日/】,【PM】開発チームのプロジェクトマネージャー,"400,000〜740,000円/ 月※ 消費税別の実際にお渡しする金額です",PM,,週5日,新橋・銀座・東京（東京駅）,【業務内容】・プロダクトオーナーと共に各PDT、PJTの開発進捗確認・管理を行う・開発仕様の検討・プロダクト開発の推進→エンジニアマネージャーの補佐として、社内の全事業の開発に携わります,PM,,・過去に3年以上同じプロジェクトの経験がある・プロジェクトマネジメントの経験がある・クライアントとの折衝経験がある,・自社プロダクト開発経験がある・ホテル業界のシステム知見がある・システム運用保守経験がある・設計・開発の経験がある・要件定義の経験がある,"週5日                            
(ﾘﾓｰﾄ：可)","400,000〜740,000円",新橋・銀座・東京（東京駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105384,
