,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
241,241,242,https://lancersagent.com/project/marketer/00616505981930334195bba0a,"定番【週1日･2日/リサーチャー】                                【リサーチャー】美容医療関連のアプリケーションのリサーチ                            週1日･2日 | 700,000〜800,000円 / 月リサーチャー週1日･2日渋谷・新宿（渋谷駅）▼具体的な業務内容・市場調査/リサーチ業務（企画・実査・分析・報告まで）　※ユーザーインタビューなども今後お任せしたいと考えています。詳細を見る",リサーチャー,,週1日･2日,渋谷・新宿（渋谷駅）,                【リサーチャー】美容医療関連のアプリケーションのリサーチ | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616505981930334195bba0a,"▼具体的な業務内容
・市場調査/リサーチ業務（企画・実査・分析・報告まで）
　※ユーザーインタビューなども今後お任せしたいと考えています。/マーケター/その他/渋谷・新宿",【週1日･2日/】,【リサーチャー】美容医療関連のアプリケーションのリサーチ,"700,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",リサーチャー,,週1日･2日,渋谷・新宿（渋谷駅）,▼具体的な業務内容・市場調査/リサーチ業務（企画・実査・分析・報告まで）※ユーザーインタビューなども今後お任せしたいと考えています。,リサーチャー,,・市場調査会社での実務経験・定性と定量調査、両方の調査手法の全般的理解・ウェブ（PC、スマホ）調査の理解と経験・事業会社のリサーチ職での実務経験・集計の実務経験、集計専用ソフトや統計解析ソフトの使用経験・toCのインターネットサービス（アプリ含む）における親和性のある実務経験,・美容医療の経験・定性調査の司会スキル・経験・オンラインインタビューでのモデレート経験,"週1日･2日                            
(ﾘﾓｰﾄ：一部可)","700,000〜800,000円",渋谷・新宿（渋谷駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105336,
242,242,243,https://lancersagent.com/project/marketer/00616505988668533195bb3b8,"定番【週4日･5日/コンテンツマーケティング・SNSマーケター】                                【SNSコンテンツマーケティング】美容医療関連のアプリケーションのSNSコンテンツマーケター                            週4日･5日 | 500,000〜640,000円 / 月コンテンツマーケティング・SNSマーケター週4日･5日渋谷・新宿（渋谷駅）▼具体的な業務内容・SNSを活用した戦略立案、運用改善・計測ツールや分析数値を基にした施策効果の分析とそれに基づくプランニング・コンテンツ(静止画/テキスト/動画)の企画/クリエイティブ制作進行・各施策におけるプロジェクトマネジメント詳細を見る",コンテンツマーケティング・SNSマーケター,,週4日･5日,渋谷・新宿（渋谷駅）,                【SNSコンテンツマーケティング】美容医療関連のアプリケーションのSNSコンテンツマーケター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616505988668533195bb3b8,"▼具体的な業務内容
・SNSを活用した戦略立案、運用改善
・計測ツールや分析数値を基にした施策効果の分析とそれに基づくプランニング
・コンテンツ(静止画/テキスト/動画)の企画/クリエイティブ制作進行
・各施策におけるプロジェクトマネジメント/マーケター/SNS/渋谷・新宿",【週4日･5日/】,【SNSコンテンツマーケティング】美容医療関連のアプリケーションのSNSコンテンツマーケター,"500,000〜640,000円/ 月※ 消費税別の実際にお渡しする金額です",コンテンツマーケティング・SNSマーケター,,週4日･5日,渋谷・新宿（渋谷駅）,▼具体的な業務内容・SNSを活用した戦略立案、運用改善・計測ツールや分析数値を基にした施策効果の分析とそれに基づくプランニング・コンテンツ(静止画/テキスト/動画)の企画/クリエイティブ制作進行・各施策におけるプロジェクトマネジメント,コンテンツマーケティング・SNSマーケター,,・SNSを用いたプロモーション、マーケティング経験・企業でのSNSアカウントの企画運用の経験・toCのインターネットサービス（アプリ含む）における親和性のある実務経験・インフルエンサーなどを活用したマーケティング経験,・美容医療の経験・数値分析、管理経験・バナー、LPなどのクリエイティブディレクションの経験・社内外を含めたプロジェクト推進経験,"週4日･5日                            
(ﾘﾓｰﾄ：一部可)","500,000〜640,000円",渋谷・新宿（渋谷駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105337,
436,436,437,https://lancersagent.com/project/marketer/0061595989428136913e96c87,"定番【週4日･5日/SNSマーケター】                                【マーケター】自社HR TechサービスのSNS広告運用業務                            週4日･5日 | 300,000〜600,000円 / 月SNSマーケター週4日･5日品川（浜松町駅）全社のマーケティング部門にて、広告運用を中心としたマーケティング業務をお任せできる方を募集しております。具体的な業務内容は広告出稿運用、レポーティング等のWEB広告運用やSNS広告をご担当いただくことを想定しております。詳細を見る",SNSマーケター,,週4日･5日,品川（浜松町駅）,                【マーケター】自社HR TechサービスのSNS広告運用業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061595989428136913e96c87,"全社のマーケティング部門にて、
広告運用を中心としたマーケティング業務をお任せできる方を募集しております。
具体的な業務内容は広告出稿運用、レポーティング等のWEB広告運用や
SNS広告をご担当いただくことを想定しております。
/マーケター/SNS/品川",【週4日･5日/】,【マーケター】自社HR TechサービスのSNS広告運用業務,"300,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",SNSマーケター,,週4日･5日,品川（浜松町駅）,全社のマーケティング部門にて、広告運用を中心としたマーケティング業務をお任せできる方を募集しております。具体的な業務内容は広告出稿運用、レポーティング等のWEB広告運用やSNS広告をご担当いただくことを想定しております。,SNSマーケター,,・SNS広告運用経験がある方,・広告運用の知見が広く、コンサル的な要素もできるかた,"週4日･5日                            
(ﾘﾓｰﾄ：可)","300,000〜600,000円",品川（浜松町駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006098688,
508,508,509,https://lancersagent.com/project/marketer/006165036516166121a8e0b90,"注目【週3日･4日･5日/SEOマーケター】                                【SEOマーケター】SEOの施策立案・管理・設計等                            週3日･4日･5日 | 420,000〜720,000円 / 月SEOマーケター週3日･4日･5日渋谷・新宿（代官山駅）【職務内容】	・SEOの施策立案 ・プロジェクトの進行管理・企画立案・クライアント折衝・スケジュール管理・ワイヤーフレームの設計詳細を見る",SEOマーケター,,週3日･4日･5日,渋谷・新宿（代官山駅）,                【SEOマーケター】SEOの施策立案・管理・設計等 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/006165036516166121a8e0b90,"【職務内容】	
・SEOの施策立案 ・プロジェクトの進行管理・企画立案
・クライアント折衝
・スケジュール管理
・ワイヤーフレームの設計/マーケター/SEO/渋谷・新宿",【週3日･4日･5日/】,【SEOマーケター】SEOの施策立案・管理・設計等,"420,000〜720,000円/ 月※ 消費税別の実際にお渡しする金額です",SEOマーケター,,週3日･4日･5日,渋谷・新宿（代官山駅）,【職務内容】・SEOの施策立案 ・プロジェクトの進行管理・企画立案・クライアント折衝・スケジュール管理・ワイヤーフレームの設計,SEOマーケター,,・インハウスSEOの実務経験が2年以上ある方・SEO施策が立案出来る方・Google ウェブマスター公式ブログに関する有識者の方,・HTML／CSS／Javascript の知識がある・Webサイトを運営した経験がある・Webディレクションの経験がある・Webマーケティングの知識がある・アクセスログからの数値分析・企画提案が出来る,"週3日･4日･5日                            
(ﾘﾓｰﾄ：可)","420,000〜720,000円",渋谷・新宿（代官山駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006105109,
788,788,789,https://lancersagent.com/project/marketer/0061649927207489415e5750f,定番【週3日･4日･5日/マーケター】                                【マーケター】大手電機メーカーのマーケティング                            週3日･4日･5日 | 3〜4.5万円 / 日マーケターJava・-週3日･4日･5日新橋・銀座・東京（東京駅）大手電機メーカーのマーケティング支援案件となります。具体的には下記業務をお任せする予定です。- クライアントの事業全体のカスタマージャーニー設計（UX含む）- ジャーニーから検討できる施策やアイディア出し、企画リード- 部長（執行役員）や現場メンバーとの壁打ち- 一定期間後、現場メンバーの自走ができるようフォロー- 関連業務（資料作成等）詳細を見る,マーケター,Java・-,週3日･4日･5日,新橋・銀座・東京（東京駅）,                【マーケター】大手電機メーカーのマーケティング | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061649927207489415e5750f,"大手電機メーカーのマーケティング支援案件となります。
具体的には下記業務をお任せする予定です。
- クライアントの事業全体のカスタマージャーニー設計（UX含む）
- ジャーニーから検討できる施策やアイディア出し、企画リード
- 部長（執行役員）や現場メンバーとの壁打ち
- 一定期間後、現場メンバーの自走ができるようフォロー
- 関連業務（資料作成等）/マーケター/その他/新橋・銀座・東京",【週3日･4日･5日/Java・-】,【マーケター】大手電機メーカーのマーケティング,3〜4.5万円/ 日※ 消費税別の実際にお渡しする金額です,マーケター,Java・-,週3日･4日･5日,新橋・銀座・東京（東京駅）,大手電機メーカーのマーケティング支援案件となります。具体的には下記業務をお任せする予定です。- クライアントの事業全体のカスタマージャーニー設計（UX含む）- ジャーニーから検討できる施策やアイディア出し、企画リード- 部長（執行役員）や現場メンバーとの壁打ち- 一定期間後、現場メンバーの自走ができるようフォロー- 関連業務（資料作成等）,マーケター,Java・-,・BtoC系企業での事業全体のマーケティング経験・デジタル、オフラインなど幅広いマーケティング運用・分析経験・カスタマージャーニー設計経験,・AEMやAdobe Commerce、Adobe Analytics経験,週3日･4日･5日,3〜4.5万円,新橋・銀座・東京（東京駅）,業務委託,,案件ID：000006104836,
1217,1217,1218,https://lancersagent.com/project/marketer/00616285845593339175f99f6,"【週5日/広告マーケター/ディレクション】                                【広告代理店経験者歓迎！】携帯キャリアの広告戦略におけるWEBディレクション                            週5日 | 600,000〜1,000,000円 / 月広告マーケター/ディレクション週5日赤坂・永田町（赤坂）大手広告代理店内に常駐して広告企画、提案・マーケティング運用部隊のディレクション業務をお任せいたします。※web広告が中心となりますが、クロスメディアの提案も一部あり【業務内容】●大手クライアントへの企画立案●スケジュールの進行管理●コンテンツの品質管理など経験がある方はスキルを活かしてご活躍いただけます。詳細を見る",広告マーケター/ディレクション,,週5日,赤坂・永田町（赤坂）,                【広告代理店経験者歓迎！】携帯キャリアの広告戦略におけるWEBディレクション | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616285845593339175f99f6,"大手広告代理店内に常駐して広告企画、提案・マーケティング運用部隊のディレクション業務をお任せいたします。
※web広告が中心となりますが、クロスメディアの提案も一部あり

【業務内容】
●大手クライアントへの企画立案
●スケジュールの進行管理
●コンテンツの品質管理など

経験がある方はスキルを活かしてご活躍いただけます。/マーケター/その他/赤坂・永田町",【週5日/】,                        ※ 消費税別の実際にお渡しする金額です                    ,"600,000〜1,000,000円/ 月※ 消費税別の実際にお渡しする金額です",広告マーケター/ディレクション,,週5日,赤坂・永田町（赤坂）,大手広告代理店内に常駐して広告企画、提案・マーケティング運用部隊のディレクション業務をお任せいたします。※web広告が中心となりますが、クロスメディアの提案も一部あり【業務内容】●大手クライアントへの企画立案●スケジュールの進行管理●コンテンツの品質管理など経験がある方はスキルを活かしてご活躍いただけます。,広告マーケター/ディレクション,,広告マーケター経験ディレクション経験（ディレクター）,広告代理店での勤務経験,週5日,"600,000〜1,000,000円",赤坂・永田町（赤坂）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006099244,
1761,1761,1762,https://lancersagent.com/project/marketer/00616485429672417175ffefe,"定番【週4日･5日/広告運用マーケター】                                【マーケター】地域政策×Tech領域における自社メディアの広告運用                            週4日･5日 | 400,000〜600,000円 / 月広告運用マーケター週4日･5日渋谷・新宿（-）【業務内容】・ユーザー獲得のKPI達成のための戦略設計/実行/改善・社内の他メンバーとのテキスト/Zoomでのコミュニケーションや連携詳細を見る",広告運用マーケター,,週4日･5日,渋谷・新宿（-）,                【マーケター】地域政策×Tech領域における自社メディアの広告運用 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616485429672417175ffefe,"【業務内容】
・ユーザー獲得のKPI達成のための戦略設計/実行/改善
・社内の他メンバーとのテキスト/Zoomでのコミュニケーションや連携
/マーケター/その他/渋谷・新宿",【週4日･5日/】,【マーケター】地域政策×Tech領域における自社メディアの広告運用,"400,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",広告運用マーケター,,週4日･5日,渋谷・新宿（-）,【業務内容】・ユーザー獲得のKPI達成のための戦略設計/実行/改善・社内の他メンバーとのテキスト/Zoomでのコミュニケーションや連携,広告運用マーケター,,・広告運用経験・Facebook/Instagram/LINE広告を高い頻度（日次）で改善した経験・Google Analyticsによる分析,・Canvaやfigmaを用いた広告クリエイティブ作成・地頭の良さ・フルリモートで自律的に働けるセルフマネジメント力・戦略的思考力・自律的に業務を回せる積極性・各種SaaSを使いこなせるITリテラシーの高さ,"週4日･5日                            
(ﾘﾓｰﾄ：可)","400,000〜600,000円",渋谷・新宿（-）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006103861,
2348,2348,2349,https://lancersagent.com/project/marketer/00616473104698439175fe708,"定番【週4日･5日/マーケター/ディレクター】                                【マーケター/ディレクター】自社のコミュニケーションプランナー                            週4日･5日 | 400,000円以上 / 月マーケター/ディレクター週4日･5日水道橋・飯田橋（湯島駅）業務内容】・消費者心理を踏まえた、LINEチャットボットの会話シナリオのデザイン〜ペルソナ設計　└消費者インサイトや商品の訴求に関する顧客ヒアリング　└シナリオ・クリエイティブの設計、作成・チャットボットを実運用し、その結果データを分析した上で、シナリオの改善　└実運用データを分析し、改善案の仮説出し　└顧客への提案　└改善案の実行詳細を見る",マーケター/ディレクター,,週4日･5日,水道橋・飯田橋（湯島駅）,                【マーケター/ディレクター】自社のコミュニケーションプランナー | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616473104698439175fe708,"業務内容】
・消費者心理を踏まえた、LINEチャットボットの会話シナリオのデザイン〜ペルソナ設計
　└消費者インサイトや商品の訴求に関する顧客ヒアリング
　└シナリオ・クリエイティブの設計、作成
・チャットボットを実運用し、その結果データを分析した上で、シナリオの改善
　└実運用データを分析し、改善案の仮説出し
　└顧客への提案
　└改善案の実行
/マーケター/その他/水道橋・飯田橋",【週4日･5日/】,【マーケター/ディレクター】自社のコミュニケーションプランナー,"400,000円以上/ 月※ 消費税別の実際にお渡しする金額です",マーケター/ディレクター,,週4日･5日,水道橋・飯田橋（湯島駅）,業務内容】・消費者心理を踏まえた、LINEチャットボットの会話シナリオのデザイン〜ペルソナ設計└消費者インサイトや商品の訴求に関する顧客ヒアリング└シナリオ・クリエイティブの設計、作成・チャットボットを実運用し、その結果データを分析した上で、シナリオの改善└実運用データを分析し、改善案の仮説出し└顧客への提案└改善案の実行,マーケター/ディレクター,,・Web広告代理店、Web制作、SaaS/IT領域での経験（ディレクション、広告運用、コンサルティング、営業問わず）・マーケティングのご知見・ベンチャーマインド、新規事業立ち上げへの意欲,・Web広告代理店での勤務経験（リスティング、SNS、アフィリエイト問わず）・シナリオ設計、コピーライター、ステップ配信などに関わる、コミュニケーション設計・マネージメント経験,"週4日･5日                            
(ﾘﾓｰﾄ：可)","400,000円以上",水道橋・飯田橋（湯島駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006103279,
2680,2680,2681,https://lancersagent.com/project/marketer/00616467430894619163f7159,"定番【週4日･5日/広告運用マーケター】                                webマーケティングで企業を支援する広告運用事業の責任者候補                            週4日･5日 | 600,000〜1,000,000円 / 月広告運用マーケター週4日･5日水道橋・飯田橋（新御茶ノ水駅）【会社概要】AI（人工知能）で企業のデジタルトランスフォーメーションを推進しています。◎仕事内容・広告運用メンバーのマネジメント・顧客の課題特定及びアドバイザー業務・サイト改善の企画及び提案・web広告運用（リスティング、SNSなど）・データ解析（Google Analyticsなど）詳細を見る",広告運用マーケター,,週4日･5日,水道橋・飯田橋（新御茶ノ水駅）,                webマーケティングで企業を支援する広告運用事業の責任者候補 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/00616467430894619163f7159,"【会社概要】
AI（人工知能）で企業のデジタルトランスフォーメーションを推進しています。

◎仕事内容
・広告運用メンバーのマネジメント
・顧客の課題特定及びアドバイザー業務
・サイト改善の企画及び提案
・web広告運用（リスティング、SNSなど）
・データ解析（Google Analyticsなど）/マーケター/リスティング/水道橋・飯田橋",【週4日･5日/】,webマーケティングで企業を支援する広告運用事業の責任者候補,"600,000〜1,000,000円/ 月※ 消費税別の実際にお渡しする金額です",広告運用マーケター,,週4日･5日,水道橋・飯田橋（新御茶ノ水駅）,【会社概要】AI（人工知能）で企業のデジタルトランスフォーメーションを推進しています。◎仕事内容・広告運用メンバーのマネジメント・顧客の課題特定及びアドバイザー業務・サイト改善の企画及び提案・web広告運用（リスティング、SNSなど）・データ解析（Google Analyticsなど）,広告運用マーケター,,・webマーケティングに関する企画、運用業務経験(リスティング、SNS、SEOなど)・数名のメンバーマネジメント経験,・弊社ミッション、ビジョンに共感してくださる方・マーケティングを通して「経営」にまで深く携わりたい方・デジタルマーケティングのエキスパートを目指したい方,"週4日･5日                            
(ﾘﾓｰﾄ：可)","600,000〜1,000,000円",水道橋・飯田橋（新御茶ノ水駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006102960,
4306,4306,4307,https://lancersagent.com/project/marketer/0061644365022407fc85099,"注目【週3日/Webマーケター】                                【即日採用！】共同事業サービスにおけるWebマーケティング業務                            週3日 | 400,000〜700,000円 / 月Webマーケター週3日新橋・銀座・東京（東銀座駅）・アプリのユーザー集客   Ｌパートナー企業が保有する顧客基盤に対してメルマガ等のオンラインチャネルやオフラインチャネルを組み合わせた施策を展開   Ｌ新規ユーザー獲得キャンペーンの企画立案、アプリ内およびLP実装ディレクション、オペレーション・アプリ内CRM   Ｌプッシュ通知の企画立案/実行（管理画面等を用いた入稿作業）   Ｌ既存機能の改善や新機能の企画立案/実行上記に関わるエンジニアおよびサポートメン詳細を見る",Webマーケター,,週3日,新橋・銀座・東京（東銀座駅）,                【即日採用！】共同事業サービスにおけるWebマーケティング業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/marketer/0061644365022407fc85099,"・アプリのユーザー集客
   Ｌパートナー企業が保有する顧客基盤に対してメルマガ等のオンラインチャネルやオフラインチャネルを組み合わせた施策を展開
   Ｌ新規ユーザー獲得キャンペーンの企画立案、アプリ内およびLP実装ディレクション、オペレーション
・アプリ内CRM
   Ｌプッシュ通知の企画立案/実行（管理画面等を用いた入稿作業）
   Ｌ既存機能の改善や新機能の企画立案/実行
上記に関わる
エンジニアおよびサポートメン/マーケター/その他/新橋・銀座・東京",【週3日/】,【即日採用！】共同事業サービスにおけるWebマーケティング業務,"400,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",Webマーケター,,週3日,新橋・銀座・東京（東銀座駅）,・アプリのユーザー集客Ｌパートナー企業が保有する顧客基盤に対してメルマガ等のオンラインチャネルやオフラインチャネルを組み合わせた施策を展開Ｌ新規ユーザー獲得キャンペーンの企画立案、アプリ内およびLP実装ディレクション、オペレーション・アプリ内CRMＬプッシュ通知の企画立案/実行（管理画面等を用いた入稿作業）Ｌ既存機能の改善や新機能の企画立案/実行上記に関わるエンジニアおよびサポートメン,Webマーケター,,・コンシューマー向けのwebまたはアプリサービスのマーケティング業務,・コンシューマー向けのwebまたはアプリサービスのPM業務・チーム内外の関係者と連携してスムーズに業務を進めるためのコミュニケーション能力,"週3日                            
(ﾘﾓｰﾄ：一部可)","400,000〜700,000円",新橋・銀座・東京（東銀座駅）,業務委託,報酬は稼働日数に応じます,案件ID：000006101165,
